source_path,source_sha256,district,stage,pages,cached_pages,parsed_rows,seat_number_holes,duplicate_seat_numbers,output
data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,23a68f83ac3fe6e42e65be6c9e29429ed84ce4c964793a78b755c128f052ed76,Cooch Behar,final,4,4,33,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,206e99f9cbcc0fb0cbfd9d58e962961ac7d49ead9ec65a84c64795c7d9da6e42,Alipurduar,final,3,3,18,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3668adf1b52be5bfef7acd265bc45ed223b66b67f4386b790144bd9576303096,Jalpaiguri,final,3,3,19,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,be2c06afb28539280aa5955d4ef91f0b7cbfaacb4595c0ec778fa8315d58cde1,Uttar Dinajpur,final,3,3,26,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,ecff1c802621393935151548affa3fae1ed1d50bb61af1d445e8ad5ca2b8b230,Dakshin Dinajpur,final,3,3,18,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1676-SEC-Gazette Notification-Delimitation and reservation-Malda.pdf,c12a42c85b645a59ff445be965e63711621182edca9d334dbc0864b2e35b431c,Malda,final,4,4,38,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,Murshidabad,final,6,6,70,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia.pdf,d2ab9cd95edc752d7f9e8a69681c19d3c6d5384d9eb3d70642079bfffa7801de,Nadia,final,4,4,47,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,North 24 Pgs,final,5,5,57,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,South 24 Pgs,final,7,7,81,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah.pdf,15352979e7d686acbfbc9a01c4c65a669396e1f498edf1b043516f1037d66501,Howrah,final,4,4,40,[],[],data/wb/zp_member_2018.csv
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,Hooghly,final,5,5,50,[],[],data/wb/zp_member_2018.csv
