source_path,source_sha256,source_page,stage,ocr_path,ocr_sha256,parsed_rows,status,header_edges_300dpi,raw_ocr,unreadable_member_counts
data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,23a68f83ac3fe6e42e65be6c9e29429ed84ce4c964793a78b755c128f052ed76,1,final,data/wb/ocr/final/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar-01.tsv,3a3a22ff80391b6baa85db0ef793056dd465dd7066646343547842e8555b67ea,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,23a68f83ac3fe6e42e65be6c9e29429ed84ce4c964793a78b755c128f052ed76,2,final,data/wb/ocr/final/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar-02.tsv,f9bb4378c36a1b37e3c756cf61b0aee785e0fabbdb33ef95aa8eee255904f6f6,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,23a68f83ac3fe6e42e65be6c9e29429ed84ce4c964793a78b755c128f052ed76,3,final,data/wb/ocr/final/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar-03.tsv,687a586693c3d7b9feaee9c29b122797b63a28dd9e29b88504d9e739c8baa2de,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar.pdf,23a68f83ac3fe6e42e65be6c9e29429ed84ce4c964793a78b755c128f052ed76,4,final,data/wb/ocr/final/1671-SEC-Gazette Notification-Delimitation and reservation-Cooch Behar-04.tsv,5ee3dd59765ed446838ecc052b9e0ff010ea2669d7b9b1c0f4f9670dc17952b7,3,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,206e99f9cbcc0fb0cbfd9d58e962961ac7d49ead9ec65a84c64795c7d9da6e42,1,final,data/wb/ocr/final/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar-01.tsv,ce455310349ddf4ae7cdd41b74c48efe165aa6474a6f6ca4fab184887ce3576f,1,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,206e99f9cbcc0fb0cbfd9d58e962961ac7d49ead9ec65a84c64795c7d9da6e42,2,final,data/wb/ocr/final/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar-02.tsv,3ffb3e5f020dd97b03d9bf2e9b645ec0e4985415ec35be279dd0041729924f14,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar.pdf,206e99f9cbcc0fb0cbfd9d58e962961ac7d49ead9ec65a84c64795c7d9da6e42,3,final,data/wb/ocr/final/1672-SEC-Gazette Notification-Delimitation and reservation-Alipurduar-03.tsv,fe7b2b73e8eef3f7fcb44d6f5380a0b250540091b77dad4ff91566aea73724ef,3,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3668adf1b52be5bfef7acd265bc45ed223b66b67f4386b790144bd9576303096,1,final,data/wb/ocr/final/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri-01.tsv,7e3190989a3504f446906aadd09208005cd198d1571dd3ccb4772870f038068f,1,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3668adf1b52be5bfef7acd265bc45ed223b66b67f4386b790144bd9576303096,2,final,data/wb/ocr/final/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri-02.tsv,f41828670d92bfaac4e0ae141a781b3c7f3b8715799bdc360d0eb349660c11fc,11,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri.pdf,3668adf1b52be5bfef7acd265bc45ed223b66b67f4386b790144bd9576303096,3,final,data/wb/ocr/final/1673-SEC-Gazette Notification-Delimitation and reservation-Jalpaiguri-03.tsv,1e545a3051da33c03e4a6997e972996f131b2619b51166fbae1041f724213c9f,7,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,be2c06afb28539280aa5955d4ef91f0b7cbfaacb4595c0ec778fa8315d58cde1,1,final,data/wb/ocr/final/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur-01.tsv,c4e1d21306d96988482e91e459036f73fcf17f81db740338fef78b3897d70bbc,3,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,be2c06afb28539280aa5955d4ef91f0b7cbfaacb4595c0ec778fa8315d58cde1,2,final,data/wb/ocr/final/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur-02.tsv,2f2f47e07d3b5bcdf9e99e43527e19194a8b25bc632e3b3123a89aca275bb4f6,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur.pdf,be2c06afb28539280aa5955d4ef91f0b7cbfaacb4595c0ec778fa8315d58cde1,3,final,data/wb/ocr/final/1674-SEC-Gazette Notification-Delimitation and reservation-Uttar Dinajpur-03.tsv,c6f263914de32973a2606d36a981c23fa993016cb34070269dceb7740f4b2c75,9,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,ecff1c802621393935151548affa3fae1ed1d50bb61af1d445e8ad5ca2b8b230,1,final,data/wb/ocr/final/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur-01.tsv,c2a7fb8d435d31966683580b0cc8e6f65765543daab6a60bc8a7ec7f4599ab82,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,ecff1c802621393935151548affa3fae1ed1d50bb61af1d445e8ad5ca2b8b230,2,final,data/wb/ocr/final/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur-02.tsv,88f70ac1d012c1fe906dc0679b3ada51ccd8a9c6a62e51a7d0e8bb89a585b68a,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur.pdf,ecff1c802621393935151548affa3fae1ed1d50bb61af1d445e8ad5ca2b8b230,3,final,data/wb/ocr/final/1675-SEC-Gazette Notification-Delimitation and reservation-Dakshin Dinajpur-03.tsv,7e8fcf04609d484a38cefc07e79b38daa23a671f8bc8217d29f3a47f43aa050b,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1676-SEC-Gazette Notification-Delimitation and reservation-Malda.pdf,c12a42c85b645a59ff445be965e63711621182edca9d334dbc0864b2e35b431c,1,final,data/wb/ocr/final/1676-SEC-Gazette Notification-Delimitation and reservation-Malda-01.tsv,691960e37380719e439f650df44f0992dc940b33f1f9e3332b31b6770e4221b8,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1676-SEC-Gazette Notification-Delimitation and reservation-Malda.pdf,c12a42c85b645a59ff445be965e63711621182edca9d334dbc0864b2e35b431c,2,final,data/wb/ocr/final/1676-SEC-Gazette Notification-Delimitation and reservation-Malda-02.tsv,7e49f6b2dc042741f195e2da445c60eff27f58ccf75aa0d712b975981abfeda8,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1676-SEC-Gazette Notification-Delimitation and reservation-Malda.pdf,c12a42c85b645a59ff445be965e63711621182edca9d334dbc0864b2e35b431c,3,final,data/wb/ocr/final/1676-SEC-Gazette Notification-Delimitation and reservation-Malda-03.tsv,c96ebccecb4d838795eb03d0a9d5fafb1ad748221f2a30975c908dce9066244a,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1676-SEC-Gazette Notification-Delimitation and reservation-Malda.pdf,c12a42c85b645a59ff445be965e63711621182edca9d334dbc0864b2e35b431c,4,final,data/wb/ocr/final/1676-SEC-Gazette Notification-Delimitation and reservation-Malda-04.tsv,0f761839b4944d90e3e761abcf6b13eee294c6e1349076495a8ffd0c2a43ff76,6,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,1,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-01.tsv,800459d0e9fec42d54cb0d9d3a4fa42de664763884f6ec86e4285164c9d1adb0,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,2,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-02.tsv,396ea7adafd23c0ef4dab499bfac83292f8de0c795187c1d686c846e159e628a,17,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,3,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-03.tsv,eec98a33d054b27e70899f7607f9fcc1e5bda7d5e3bb6bb6611e4c1b7dc41d3a,17,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,4,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-04.tsv,861e9069ea602e5980976a58c58fc5022c0f1f9c7bc1b91a9d764ce58b3d889a,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,5,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-05.tsv,e93c95209a902987199575bf9a727477a9d8d215cd148e1feab137a384838ce1,17,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad.pdf,7ad0fe8ac18b3115412cbbe5efc6410212c4c2c7dde3ecf876bfe00a4fca0928,6,final,data/wb/ocr/final/1677-SEC-Gazette Notification-Delimitation and reservation-Murshidabad-06.tsv,bdb3de078686ef170797c7753ebf54d5fd9b5a922d64ddd91a5c3c719f3a1a49,3,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia.pdf,d2ab9cd95edc752d7f9e8a69681c19d3c6d5384d9eb3d70642079bfffa7801de,1,final,data/wb/ocr/final/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia-01.tsv,4688ef4833dff7ffa763785bc7891d460f807fc1ec827df84f3e080a056376de,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia.pdf,d2ab9cd95edc752d7f9e8a69681c19d3c6d5384d9eb3d70642079bfffa7801de,2,final,data/wb/ocr/final/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia-02.tsv,859063a9ef94702ccb1e7a822067a3e49519f5f138286f2e8e11c438c1031359,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia.pdf,d2ab9cd95edc752d7f9e8a69681c19d3c6d5384d9eb3d70642079bfffa7801de,3,final,data/wb/ocr/final/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia-03.tsv,9840644fe55956fa1245638aed7f92bd4081dc26322ab482be22512011b30467,16,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia.pdf,d2ab9cd95edc752d7f9e8a69681c19d3c6d5384d9eb3d70642079bfffa7801de,4,final,data/wb/ocr/final/1678-SEC-Gazette Notification-Delimitation and reservation-Nadia-04.tsv,c38b8865e40a77da56dac8dd931c4c9b8812609e8b03822469814c4c0606fe1f,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,1,final,data/wb/ocr/final/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs-01.tsv,c289e4cd9f1a4cb73b8865bc1bb70d2ac5744a890f5e9fd96d6d2139cbdace8e,3,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,2,final,data/wb/ocr/final/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs-02.tsv,a916016d1679ab7d4ad9039c86bd8a56354df8065a22c8986498ba2da7074b72,13,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,3,final,data/wb/ocr/final/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs-03.tsv,9e287e21772cb37bb9314394cbf2987ab4408301504136656e947576ae58bc4f,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,4,final,data/wb/ocr/final/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs-04.tsv,932923544bb8ece86d17f3105b1a65eeac44778ba2b89f45b911a6b1b6b4d077,14,routed_existing_final_csv,NaN,,NaN
