record_id,state,year,district,block,seat_no,seat_id_printed,tier,stage,caste_reservation,women_reserved,winner_gender,reservation_raw,legacy_caste_reading,legacy_woman_reading,absence_policy,source_path,source_sha256,source_page,source_bbox,bbox_units,ocr_path,ocr_sha256,raw_ocr,quality_flags
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:1:1,West Bengal,2018,Cooch Behar,Mekhliganj,1,Mekhliganj/ZP-1,zp_member,draft,,True,,WOMEN,NONE,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,1,"[0.0, 2703.5, 2550, 2949.5]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-01.tsv,6d98b0c08b072d55b649f59f44e56ccf2d3aa47c8655844690d0a7cbe76a8461,"Mekhliganj / ZP-1 Women
Ranirhat, Uchhalpukuri, Jamaldah
and Changrabandha Grams
Mekhliganj Z",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:1:2,West Bengal,2018,Cooch Behar,Mekhliganj,2,Mekhliganj/ZP-2,zp_member,draft,,True,,WOMEN,NONE,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,1,"[0.0, 2937.5, 2550, 3513]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-01.tsv,6d98b0c08b072d55b649f59f44e56ccf2d3aa47c8655844690d0a7cbe76a8461,"Mekhliganj / ZP-2 Women
Bhotebari, Nizrataf, B. Fulkadabri
and Kuchlibari Grams
1 of 4",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:3,West Bengal,2018,Cooch Behar,Haldibari,3,Haldibari/ZP-3,zp_member,draft,,True,,WOMEN,NONE,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 172.0, 2550, 408.5]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Haldibari / ZP-3 Women
Boxiganj, U.B. Haldibari and Per-
Mekhliganj Grams
Haldibari 2",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:4,West Bengal,2018,Cooch Behar,Haldibari,4,Haldibari/ZP-4,zp_member,draft,SC,,,SC,SC,0,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 396.5, 2550, 607.5]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Haldibari / ZP-4 SC
D.B. Haldibari, Dewanganj and
Hemkumari Grams",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:5,West Bengal,2018,Cooch Behar,Mathabhanga-II,5,Mathabhanga-II/ZP-5,zp_member,draft,SC,True,,SC WOMEN,SC,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 595.5, 2550, 788.5]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-II/ZP-5 SC Women
Fulbari, Bara Soulmari and
Latapota Grams",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:6,West Bengal,2018,Cooch Behar,Mathabhanga-II,6,Mathabhanga-II/ZP-6,zp_member,draft,SC,,,SC,SC,0,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 776.5, 2550, 961.0]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-II/ZP-6 SC
Ghoksadanga, Ruidanga and
Unish Bisha Grams
Mathabhanga-II 3",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:7,West Bengal,2018,Cooch Behar,Mathabhanga-II,7,Mathabhanga-II/ZP-7,zp_member,draft,,True,,WOMEN,NONE,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 949.0, 2550, 1232.5]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-II/ZP-7 Women
AK Paradubi, Premerdanga,
Nishiganj-I and Nishiganj-II
Grams",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:8,West Bengal,2018,Cooch Behar,Mathabhanga-I,8,Mathabhanga-I/ZP-8,zp_member,draft,SC,True,,SC WOMEN,SC,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 1220.5, 2550, 1453.0]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-I/ZP-8 SC Women
Hazrahat-I, Hazrahat-lII,
Bairagirhat and Shikarpur Grams",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:9,West Bengal,2018,Cooch Behar,Mathabhanga-I,9,Mathabhanga-I/ZP-9,zp_member,draft,SC,,,SC,SC,0,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 1441.0, 2550, 1628.0]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-I/ZP-9 SC
3 Pachagar, Kursamari and
Jorepatki Grams
Mathabhanga-I",draft_order;unreviewed_ocr
fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b:2:10,West Bengal,2018,Cooch Behar,Mathabhanga-I,10,Mathabhanga-I/ZP-10,zp_member,draft,SC,True,,SC WOMEN,SC,1,OCR absence remains unknown; no verified negatives,data/wb/2018/draft/1331-SEC-draft reservation-coochbehar.pdf,fc3d0b027fd288ce4573c6e9ddc7e54d39b74afd1c27c9b0844dc55d0f3d5a4b,2,"[0.0, 1616.0, 2550, 1845.0]",OCR image pixels at 300 dpi; row band to next anchor,data/wb/ocr/draft/1331-SEC-draft reservation-coochbehar-02.tsv,dc47c1f575e4feb70cf41491f3fb830511aa4808574b9f48671e7d794893cf90,"Mathabhanga-I/ZP-10 SC Women
Gopalpur, Kedarhat and Nayerhat
Grams",draft_order;unreviewed_ocr
