district,election_year,tier,stage,printed_office_universe,source_path,source_sha256,source_page,category,printed_count,parsed_positive_mentions,difference,visually_reviewed_mentions,control_status,independent_visual_enumeration,independent_visual_enumeration_sha256
Jalpaiguri,2023,gp_head,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,SC,29,29,0,29,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_head,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,ST,11,11,0,11,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_head,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,BC,0,0,0,0,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_head,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,women,40,40,0,40,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_deputy,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3,SC,14,14,0,14,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_deputy,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3,ST,4,4,0,4,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_deputy,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3,BC,0,0,0,0,count_agreement_not_name_verification,,
Jalpaiguri,2023,gp_deputy,final,80,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3,women,10,10,0,10,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_head,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,4,SC,3,3,0,3,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_head,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,4,ST,1,1,0,1,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_head,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,4,BC,0,0,0,0,count_agreement_not_name_verification,,
