source_path,source_sha256,source_page,cells,status,error
data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,1,44,cells_extracted_review_pending,
data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,2,74,cells_extracted_review_pending,
data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,3,40,cells_extracted_review_pending,
data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,4,12,cells_extracted_review_pending,
data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,5,6,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Arsha.pdf,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Baghmundi.pdf,98661ff133719a2aac53af02075e9047092b6f1fe947d4ba77d067537ff285c0,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Balarampur.pdf,9f28a3b99dcae4e1b0b519a714bc0eebd1e6ab0dd91319e38205240e80df5b02,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Bandwan.pdf,770d44ae0818307cd876953f6ee9d602e86df07628853f9ae04f11434cc16cc6,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Barabazar.pdf,60800840e9d943858ca2ab41312973c6bb42e623069a875032a0d3e553efba85,1,16,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Hura.pdf,da676f63c655adf4727db80e2d05a6f9cd7bd495fdff061c531c226ba83a1a15,1,16,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Jhalda-I.pdf,1c0af239799e0b72efd4f6c75c0247358281db873a07db2d22caff1d461c28c3,1,14,cells_extracted_review_pending,
