state,district,year,record_kind,block_printed,row_role,main_polling_stations,polling_stations_over_1250_excluding_1400,polling_stations_over_1400_divided_into_two,sectors,single_premises,double_premises,triple_premises,quadruple_premises,total_premises,total_polling_stations,total_electors,source_path,source_sha256,source_page,source_table,source_row,source_table_bbox,raw_cells,quality_flags,review_status
West Bengal,Alipurduar,2018,polling_infrastructure,KUMARGRAM,block,180,6,0,17,154,13,0,0,167,180,149780,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,3,"[74.1, 109.38, 713.94, 368.82]","[""KUMARGRAM"", ""180"", ""6"", ""0"", ""17"", ""154"", ""13"", ""0"", ""0"", ""167"", ""180"", ""149780""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,ALIPURDUAR - II,block,183,12,1,18,133,24,1,0,158,184,168448,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,4,"[74.1, 109.38, 713.94, 368.82]","[""ALIPURDUAR - II"", ""183"", ""12"", ""1 (10/190)"", ""18"", ""133"", ""24"", ""1"", ""0"", ""158"", ""184"", ""168448""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,KALCHINI,block,228,14,6,24,151,29,7,1,188,234,205726,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,5,"[74.1, 109.38, 713.94, 368.82]","[""KALCHINI"", ""228"", ""14"", ""6 (11/4,8,18,25,28,38)"", ""24"", ""151"", ""29"", ""7"", ""1"", ""188"", ""234"", ""205726""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,ALIPURDUAR - I,block,181,9,1,20,102,40,0,0,142,182,163427,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,6,"[74.1, 109.38, 713.94, 368.82]","[""ALIPURDUAR - I"", ""181"", ""9"", ""1 (12/112)"", ""20"", ""102"", ""40"", ""0"", ""0"", ""142"", ""182"", ""163427""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,FALAKATA,block,241,16,2,24,185,29,0,0,214,243,219509,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,7,"[74.1, 109.38, 713.94, 368.82]","[""FALAKATA"", ""241"", ""16"", ""2 (13/68,106)"", ""24"", ""185"", ""29"", ""0"", ""0"", ""214"", ""243"", ""219509""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,MADARIHAT- BIRPARA,block,167,11,0,18,101,28,2,1,132,167,145790,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,8,"[74.1, 109.38, 713.94, 368.82]","[""MADARIHAT-\nBIRPARA"", ""167"", ""11"", ""0"", ""18"", ""101"", ""28"", ""2"", ""1"", ""132"", ""167"", ""145790""]",,source_controls_passed
West Bengal,Alipurduar,2018,polling_infrastructure,TOTAL,printed_district_total,1180,68,10,121,826,163,10,2,1001,1190,1052680,data/wb/gp_source_search/historical_expansion/alipurduar_AT_A_GLANCE_a5fb489b.pdf,b49d17531e69ad192a9c0cd0548b6126fb64a2741a68444e72d663840f066501,1,1,9,"[74.1, 109.38, 713.94, 368.82]","[""TOTAL"", ""1180"", ""68"", ""10"", ""121"", ""826"", ""163"", ""10"", ""2"", ""1001"", ""1190"", ""1052680""]",,source_controls_passed
