dataset,table,row_id,source_path,source_page,quality_flags
nadia_2008,gp_seats,fbc07a3a7a4cc7d1d46f,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,bea411201b427a987c35,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,e0de373015be1dbbe074,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,c7b0a18c55590233204f,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,d309e4d404b15f2b2c73,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,ee327a1d959e59015d4e,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,1c4e39b204f75276e5c9,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,2da260966e5b8c9f7be6,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,963d32868bb6e3ce2d13,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,1,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
nadia_2008,gp_seats,0871305f0904dee1804d,data/wb/gp_source_search/historical_expansion/nadia_Dewli_273789c8.pdf,2,reservation_totals_mismatch;seat_universe_mismatch;unsupported_rows
