source_path,sha256,cache,pages,reader_status,pages_with_text,tables,semantic_status,seat_records,flagged_seat_or_candidate_records
data/wb/gp_source_search/historical_expansion/nadia_Ramnagar-I_373a0017.pdf,0cc9b6f465c45c66a23dc89b3e3011bf2c62af313aecfad046a1f8e01720ee5b,data/wb/derived/native/0cc9b6f465c45c66a23dc89b3e3011bf2c62af313aecfad046a1f8e01720ee5b.json,2,pdfplumber_page_count_reconciled,2,2,nadia:parsed,12,0
data/wb/gp_source_search/historical_expansion/nadia_Rautari_845ce850.pdf,86cc57181c15d93393988c8089bd4cf026e5687321b7857391fcc3348e03ce40,data/wb/derived/native/86cc57181c15d93393988c8089bd4cf026e5687321b7857391fcc3348e03ce40.json,2,pdfplumber_page_count_reconciled,2,3,nadia:parsed,9,9
data/wb/gp_source_search/historical_expansion/nadia_Saguna_77c14419.pdf,dc9a5c71b7c77e7327d075f926219623babd14379a18a724a21c7c29b5be6f49,data/wb/derived/native/dc9a5c71b7c77e7327d075f926219623babd14379a18a724a21c7c29b5be6f49.json,3,pdfplumber_page_count_reconciled,3,4,nadia:parsed,22,0
data/wb/gp_source_search/historical_expansion/nadia_Schedule-A1_72e4ab9c.pdf,369cbe36fc9ffd771126a5e71171b210664c8a9925fc28ea267b2677e139ee13,data/wb/derived/native/369cbe36fc9ffd771126a5e71171b210664c8a9925fc28ea267b2677e139ee13.json,28,pdfplumber_page_count_reconciled,28,28,nadia:parsed,145,145
data/wb/gp_source_search/historical_expansion/nadia_Schedule-B1_83189d27.pdf,a042a305b5b4ffbeaf05aa781d2105e562807af63f70f9e34a44c00263f4d300,data/wb/derived/native/a042a305b5b4ffbeaf05aa781d2105e562807af63f70f9e34a44c00263f4d300.json,4,pdfplumber_page_count_reconciled,4,13,nadia:gp_rows_unresolved,0,0
data/wb/gp_source_search/historical_expansion/nadia_ScheduleB1_ea11276a.pdf,2b8c24da0e5d1df68ed8163b88827ac3680f2e68411fa2b0a314519e2f507d84,data/wb/derived/native/2b8c24da0e5d1df68ed8163b88827ac3680f2e68411fa2b0a314519e2f507d84.json,4,pdfplumber_page_count_reconciled,4,2,nadia:gp_rows_unresolved,0,0
data/wb/gp_source_search/historical_expansion/nadia_Shikarpur_43495071.pdf,554c4d2bac5b52f2122227164a589097051f1c84abd6209e90c2abaea99fd9e7,data/wb/derived/native/554c4d2bac5b52f2122227164a589097051f1c84abd6209e90c2abaea99fd9e7.json,1,pdfplumber_page_count_reconciled,1,1,nadia:not_identified_gp_schedule,0,0
data/wb/gp_source_search/historical_expansion/nadia_Shyamnagar_01ae09b5.pdf,64c3f7ae34d4eb25fd19c10e830bf8ffbb9be4d04f95ba14ce1d64f30cf84939,data/wb/derived/native/64c3f7ae34d4eb25fd19c10e830bf8ffbb9be4d04f95ba14ce1d64f30cf84939.json,2,pdfplumber_page_count_reconciled,2,2,nadia:parsed,13,0
data/wb/gp_source_search/historical_expansion/nadia_Shyamnagar_6ec2319a.pdf,b83bf95c6400d00af4f957800a2c8084a02aba7d15dad047f1f72b60ca66b319,data/wb/derived/native/b83bf95c6400d00af4f957800a2c8084a02aba7d15dad047f1f72b60ca66b319.json,3,pdfplumber_page_count_reconciled,3,3,nadia:parsed,11,0
data/wb/gp_source_search/historical_expansion/nadia_Silinda-I_7d8fc466.pdf,8b7ab9c412f8ee47fd244bda3f72c9298c9f60b5c58a82d00443b64466e5033d,data/wb/derived/native/8b7ab9c412f8ee47fd244bda3f72c9298c9f60b5c58a82d00443b64466e5033d.json,2,pdfplumber_page_count_reconciled,2,3,nadia:parsed,14,14
