file,url,wayback_timestamp,download_url,retrieved_at,sha256,bytes,classification
hooghly_2003_total.htm,http://hooghly.nic.in:80/hzp/Panch_election1/total.htm,20041117101744,https://web.archive.org/web/20041117101744id_/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm,2026-09-06,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,649685,GP-level party counts on contested seats; no reservation or candidate votes
birbhum_2003.pdf,http://birbhum.nic.in/DPRDO/Panchayat%20Election-2003.pdf,20090410094326,https://web.archive.org/web/20090410094326id_/http://birbhum.nic.in/DPRDO/Panchayat%20Election-2003.pdf,2026-09-06,d2cdee262e55e9c7ee8825a8d41f955f1948c7fb221904ebf790c89eb6504a5d,15527,District totals only; not GP-level
cooch_behar_2018_gp_results.pdf,https://cdn.s3waas.gov.in/s3fbd7939d674997cdb4692d34de8633c4/uploads/2023/02/2023020714.pdf,,https://cdn.s3waas.gov.in/s3fbd7939d674997cdb4692d34de8633c4/uploads/2023/02/2023020714.pdf,2026-09-06,9084e88feda8537a1d991cad2f8ce735e4a26c8710fd6817ae84dbe6ec6e76ce,105721,Block totals only; not GP-level
