row_id,source_path,source_sha256,source_page,source_table,source_table_row,source_bbox,source_coordinate_system,raw_cells,state,district,year,tier,gram_panchayat,block,assembly_parts_raw,electors_2012,constituencies_2008,seats_2008,single_seated_constituencies_2013,double_seated_constituencies_2013,constituencies_2013,seats_2013,st_nonwomen_seats,sc_nonwomen_seats,obc_nonwomen_seats,st_women_seats,sc_women_seats,obc_women_seats,women_other_seats,source_list_scope,review_status,quality_flags
81ac8af46ffd32c2b749,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,3,"[131.42, 204.05000000000007, 777.4599900000001, 219.65000000000003]","PDF points, top-left origin","[""77/1 - 77/17"", ""11508"", ""9"", ""11"", ""13"", ""0"", ""13"", ""13"", ""0"", ""0"", ""3"", ""0"", ""2"", ""1"", ""3""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/1 - 77/17,11508,9,11,13,0,13,13,0,0,3,0,2,1,3,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
1b6a01bb30af3e3a82f5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,4,"[131.42, 219.65000000000003, 777.4599900000001, 235.13000000000005]","PDF points, top-left origin","[""77/18 - 33"", ""11789"", ""9"", ""11"", ""14"", ""0"", ""14"", ""14"", ""0"", ""0"", ""3"", ""0"", ""0"", ""2"", ""5""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/18 - 33,11789,9,11,14,0,14,14,0,0,3,0,0,2,5,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
8ea487ad346ea08ffeba,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,5,"[131.42, 235.13000000000005, 777.4599900000001, 250.60999500000005]","PDF points, top-left origin","[""77/34 - 46"", ""10158"", ""9"", ""9"", ""12"", ""0"", ""12"", ""12"", ""0"", ""0"", ""3"", ""0"", ""0"", ""3"", ""3""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/34 - 46,10158,9,9,12,0,12,12,0,0,3,0,0,3,3,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
2fa7551091a5bb9bec67,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,6,"[131.42, 250.60999500000005, 777.4599900000001, 266.08999500000004]","PDF points, top-left origin","[""77/47-62"", ""11196"", ""10"", ""11"", ""13"", ""0"", ""13"", ""13"", ""0"", ""1"", ""2"", ""0"", ""0"", ""3"", ""3""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/47-62,11196,10,11,13,0,13,13,0,1,2,0,0,3,3,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
e48346df5c910d638560,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,7,"[131.42, 266.08999500000004, 777.4599900000001, 281.56999500000006]","PDF points, top-left origin","[""77/63 - 91"", ""22211"", ""19"", ""21"", ""25"", ""0"", ""25"", ""25"", ""0"", ""4"", ""2"", ""0"", ""3"", ""3"", ""6""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/63 - 91,22211,19,21,25,0,25,25,0,4,2,0,3,3,6,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
c54b03c7beb346f16c70,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,8,"[131.42, 281.56999500000006, 777.4599900000001, 297.05001000000004]","PDF points, top-left origin","[""77/247-259"", ""10133"", ""8"", ""10"", ""12"", ""0"", ""12"", ""12"", ""0"", ""1"", ""2"", ""0"", ""2"", ""1"", ""3""]",West Bengal,Nadia,2013,gp_member_aggregate,,,77/247-259,10133,8,10,12,0,12,12,0,1,2,0,2,1,3,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
04d52bdf629ec7dbfbc5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,9,"[131.42, 297.05001000000004, 777.4599900000001, 312.64999500000005]","PDF points, top-left origin","[""78/64-88"", ""17102"", ""16"", ""17"", ""20"", ""0"", ""20"", ""20"", ""1"", ""2"", ""2"", ""0"", ""2"", ""3"", ""5""]",West Bengal,Nadia,2013,gp_member_aggregate,,,78/64-88,17102,16,17,20,0,20,20,1,2,2,0,2,3,5,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
7fab6717c25c873e46c5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,10,"[131.42, 312.64999500000005, 777.4599900000001, 328.15001000000007]","PDF points, top-left origin","[""78/1-19"", ""13430"", ""9"", ""13"", ""15"", ""0"", ""15"", ""15"", ""0"", ""0"", ""4"", ""0"", ""0"", ""3"", ""4""]",West Bengal,Nadia,2013,gp_member_aggregate,,,78/1-19,13430,9,13,15,0,15,15,0,0,4,0,0,3,4,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
ebf0fc3103f6454e9ab2,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,11,"[131.42, 328.15001000000007, 777.4599900000001, 343.62999500000006]","PDF points, top-left origin","[""78/20-35"", ""11542"", ""10"", ""11"", ""13"", ""0"", ""13"", ""13"", ""0"", ""1"", ""2"", ""0"", ""0"", ""3"", ""3""]",West Bengal,Nadia,2013,gp_member_aggregate,,,78/20-35,11542,10,11,13,0,13,13,0,1,2,0,0,3,3,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
f53e735ddbd45198840e,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,12,"[131.42, 343.62999500000006, 777.4599900000001, 359.1100100000001]","PDF points, top-left origin","[""78/36-63"", ""21260"", ""18"", ""21"", ""24"", ""0"", ""24"", ""24"", ""0"", ""5"", ""1"", ""0"", ""6"", ""0"", ""6""]",West Bengal,Nadia,2013,gp_member_aggregate,,,78/36-63,21260,18,21,24,0,24,24,0,5,1,0,6,0,6,ward_counts_not_office_status,native_extracted_review_stage,gp_name_not_printed_on_page
