record_type,tier,axis,normalized_name,match_status,axis_comparison,order_record_id,order_source_path,order_source_sha256,order_source_page,order_table_row,order_bbox,order_bbox_units,order_name_raw,order_raw_reading,order_reviewed_reading,order_category_raw,order_axis_claim,order_axis_claim_for_comparison,order_review_status,order_name_review_status,order_quality_flags,handbook_candidate_row_ids,handbook_candidate_serials,handbook_row_id,handbook_source_path,handbook_source_sha256,handbook_source_page,handbook_bbox,handbook_bbox_units,handbook_source_gp_serial,handbook_name_raw,handbook_code_raw,handbook_caste,handbook_women,note
order_positive_mention,gp_head,caste,dhoradaha-i,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:1:caste,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,1,"[383.57, 501.77, 415.87, 830.82]",rendered_original_page_pixels_scale_to_1800,Dhoradaha-I,Dhoradaha-I (SC),,SC,SC,SC,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""e3b0b61aa5a1841b72d4""]",[1],e3b0b61aa5a1841b72d4,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 133.57999999999998, 466.33564551724135, 150.26]","PDF points, top-left origin",1,Dhoradaha-I,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,dhoradaha-i,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:1:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,1,"[385.89, 230.07, 417.78, 502.16]",rendered_original_page_pixels_scale_to_1800,Dhoradaha-I,Dhoradaha-I,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""e3b0b61aa5a1841b72d4""]",[1],e3b0b61aa5a1841b72d4,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 133.57999999999998, 466.33564551724135, 150.26]","PDF points, top-left origin",1,Dhoradaha-I,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,dhoradaha-ii,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:2:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,2,"[415.87, 230.44, 447.77, 502.55]",rendered_original_page_pixels_scale_to_1800,Dhoradaha-II,Dhoradaha-II,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only;low_ocr_confidence,"[""0edbb1bb469dde5bd93f""]",[2],0edbb1bb469dde5bd93f,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 150.26, 466.33564551724135, 165.8599999999999]","PDF points, top-left origin",2,Dhoradaha-II,Women,UR,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,caste,natidanga-i,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:3:caste,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,3,"[443.54, 502.55, 476.34, 831.64]",rendered_original_page_pixels_scale_to_1800,Natidanga-I,Natidanga-I (BC),,BC,BC,OBC,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""e099bac892f58d556cf7""]",[3],e099bac892f58d556cf7,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 165.8599999999999, 466.33564551724135, 181.33999999999992]","PDF points, top-left origin",3,Natidanga-I,OBCW,OBC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,natidanga-i,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:3:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,3,"[445.85, 230.82, 478.26, 502.94]",rendered_original_page_pixels_scale_to_1800,Natidanga-I,Natidanga-I,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""e099bac892f58d556cf7""]",[3],e099bac892f58d556cf7,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 165.8599999999999, 466.33564551724135, 181.33999999999992]","PDF points, top-left origin",3,Natidanga-I,OBCW,OBC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,caste,rahamatpur,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:4:caste,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,4,"[474.03, 502.94, 506.83, 832.05]",rendered_original_page_pixels_scale_to_1800,Rahamatpur,Rahamatpur (SC),,SC,SC,SC,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""fc60622198554353d450""]",[5],fc60622198554353d450,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 196.81999999999994, 466.33564551724135, 212.299995]","PDF points, top-left origin",5,Rahamatpur,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,rahamatpur,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:4:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,4,"[476.34, 231.2, 508.75, 503.34]",rendered_original_page_pixels_scale_to_1800,Rahamatpur,Rahamatpur,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""fc60622198554353d450""]",[5],fc60622198554353d450,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 196.81999999999994, 466.33564551724135, 212.299995]","PDF points, top-left origin",5,Rahamatpur,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,karimpur-i,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:5:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,5,"[506.83, 231.58, 539.74, 503.74]",rendered_original_page_pixels_scale_to_1800,Karimpur-I,Karimpur-I,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""d4bab1fa9a140482fd11""]",[6],d4bab1fa9a140482fd11,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 212.299995, 466.33564551724135, 227.77999999999997]","PDF points, top-left origin",6,Karimpur-I,Women,UR,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,caste,karimpur-ii,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:6:caste,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,6,"[535.51, 503.74, 567.33, 832.86]",rendered_original_page_pixels_scale_to_1800,Karimpur-II,Karimpur-II (SC),,SC,SC,SC,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only,"[""b1e775e8668a1c0af766""]",[7],b1e775e8668a1c0af766,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 227.77999999999997, 466.33564551724135, 243.26]","PDF points, top-left origin",7,Karimpur-II,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
order_positive_mention,gp_head,women,karimpur-ii,unique_exact_name_match,agreement,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339:2:gp_head:6:women,data/wb/gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,2,6,"[537.83, 231.97, 569.24, 504.12]",rendered_original_page_pixels_scale_to_1800,Karimpur-II,Karimpur-II,,women,True,True,pending_cell_review,unreviewed_ocr,ocr_not_certified;positive_mentions_only;low_ocr_confidence,"[""b1e775e8668a1c0af766""]",[7],b1e775e8668a1c0af766,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,58,"[84.88685714285714, 227.77999999999997, 466.33564551724135, 243.26]","PDF points, top-left origin",7,Karimpur-II,SCW,SC,1,Positive order claims are compared on their stated axis only. Absence gives no negative reservation evidence.
