row_id,source_path,source_sha256,source_page,source_table,source_table_row,source_bbox,source_coordinate_system,raw_cells,cell_bboxes
71f55596f746fa922911,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,17,"[74.30399999999999, 574.99001, 524.3800200000001, 596.5899800000001]","PDF points, top-left origin","[""Female"", ""Number"", ""2513432""]","[[74.30399999999999, 574.99001, 258.16999, 596.5899800000001], [258.16999, 574.99001, 399.070005, 596.5899800000001], [399.070005, 574.99001, 524.3800200000001, 596.5899800000001]]"
57abeb39daed9ad6d218,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,18,"[74.30399999999999, 596.5899800000001, 524.3800200000001, 618.19001]","PDF points, top-left origin","[""Population (Rural)"", ""Number"", ""4221795""]","[[74.30399999999999, 596.5899800000001, 258.16999, 618.19001], [258.16999, 596.5899800000001, 399.070005, 618.19001], [399.070005, 596.5899800000001, 524.3800200000001, 618.19001]]"
b9269d7de52773258add,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,19,"[74.30399999999999, 618.19001, 524.3800200000001, 639.7900099999999]","PDF points, top-left origin","[""Educational Institutions:"", """", """"]","[[74.30399999999999, 618.19001, 258.16999, 639.7900099999999], [258.16999, 618.19001, 399.070005, 639.7900099999999], [399.070005, 618.19001, 524.3800200000001, 639.7900099999999]]"
58ccdf8bb8d648dd5b5a,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,20,"[74.30399999999999, 639.7900099999999, 524.3800200000001, 661.42001]","PDF points, top-left origin","[""Primary School"", ""Number"", ""2616""]","[[74.30399999999999, 639.7900099999999, 258.16999, 661.42001], [258.16999, 639.7900099999999, 399.070005, 661.42001], [399.070005, 639.7900099999999, 524.3800200000001, 661.42001]]"
8cf03bbdb61ebe4e87c7,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,21,"[74.30399999999999, 661.42001, 524.3800200000001, 682.9000099999998]","PDF points, top-left origin","[""Jr. High School"", ""Number"", ""184""]","[[74.30399999999999, 661.42001, 258.16999, 682.9000099999998], [258.16999, 661.42001, 399.070005, 682.9000099999998], [399.070005, 661.42001, 524.3800200000001, 682.9000099999998]]"
ccb23776fa87109a5eea,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,22,"[74.30399999999999, 682.9000099999998, 524.3800200000001, 704.49998]","PDF points, top-left origin","[""High School"", ""Number"", ""134""]","[[74.30399999999999, 682.9000099999998, 258.16999, 704.49998], [258.16999, 682.9000099999998, 399.070005, 704.49998], [399.070005, 682.9000099999998, 524.3800200000001, 704.49998]]"
2fdd73c5b4dea9bdf6a5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,23,"[74.30399999999999, 704.49998, 524.3800200000001, 726.10001]","PDF points, top-left origin","[""Higher Secondary School"", ""Number"", ""290""]","[[74.30399999999999, 704.49998, 258.16999, 726.10001], [258.16999, 704.49998, 399.070005, 726.10001], [399.070005, 704.49998, 524.3800200000001, 726.10001]]"
1a5dee0cd44d6b352027,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,24,"[74.30399999999999, 726.10001, 524.3800200000001, 747.5760099999999]","PDF points, top-left origin","[""General College"", ""Number"", ""18""]","[[74.30399999999999, 726.10001, 258.16999, 747.5760099999999], [258.16999, 726.10001, 399.070005, 747.5760099999999], [399.070005, 726.10001, 524.3800200000001, 747.5760099999999]]"
431c163c592c416fe1e9,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,17,0,25,"[74.30399999999999, 747.5760099999999, 524.3800200000001, 769.17601]","PDF points, top-left origin","[""Junior Madrasa"", ""Number"", ""3""]","[[74.30399999999999, 747.5760099999999, 258.16999, 769.17601], [258.16999, 747.5760099999999, 399.070005, 769.17601], [399.070005, 747.5760099999999, 524.3800200000001, 769.17601]]"
b917d5944d75166ce4b9,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,0,"[107.67500000000001, 118.81999999999994, 477.700005, 144.5]","PDF points, top-left origin","[""Sl.No"", ""Item"", ""2013""]","[[107.67500000000001, 118.81999999999994, 150.85999999999999, 144.5], [150.85999999999999, 118.81999999999994, 314.930005, 144.5], [314.930005, 118.81999999999994, 477.700005, 144.5]]"
