district,host,term,status,rows,truncated,detail
Purba Bardhaman,purbabardhaman.nic.in,2018,answered,0,False,0 documents
Purba Medinipur,purbamedinipur.gov.in,2008,answered,17,False,13 documents
Purba Medinipur,purbamedinipur.gov.in,2013,answered,181,False,176 documents
Purba Medinipur,purbamedinipur.gov.in,2018,answered,147,False,138 documents
Purba Medinipur,purbamedinipur.nic.in,2008,answered,0,False,0 documents
Purba Medinipur,purbamedinipur.nic.in,2013,answered,0,False,0 documents
Purba Medinipur,purbamedinipur.nic.in,2018,answered,0,False,0 documents
Purulia,purulia.gov.in,2008,answered,11,False,1 documents
Purulia,purulia.gov.in,2013,answered,75,False,62 documents
Purulia,purulia.gov.in,2018,answered,65,False,44 documents
Purulia,purulia.nic.in,2008,answered,25,False,15 documents
Purulia,purulia.nic.in,2013,answered,19,False,14 documents
Purulia,purulia.nic.in,2018,answered,35,False,17 documents
South 24 Parganas,s24pgs.gov.in,2008,answered,7,False,2 documents
South 24 Parganas,s24pgs.gov.in,2013,answered,55,False,32 documents
South 24 Parganas,s24pgs.gov.in,2018,answered,201,False,166 documents
South 24 Parganas,s24pgs.nic.in,2008,answered,0,False,0 documents
South 24 Parganas,s24pgs.nic.in,2013,answered,0,False,0 documents
South 24 Parganas,s24pgs.nic.in,2018,answered,0,False,0 documents
State,prd.wb.gov.in,2008,answered,0,False,0 documents
State,prd.wb.gov.in,2013,answered,0,False,0 documents
State,prd.wb.gov.in,2018,answered,0,False,0 documents
State,wbprd.gov.in,2008,answered,7,False,3 documents
State,wbprd.gov.in,2013,answered,10,False,2 documents
State,wbprd.gov.in,2018,answered,53,False,11 documents
State,wbsec.gov.in,2008,answered,49,False,17 documents
State,wbsec.gov.in,2013,answered,61,False,9 documents
State,wbsec.gov.in,2018,answered,952,False,201 documents
State,wbsec.org,2008,answered,0,False,0 documents
State,wbsec.org,2013,answered,0,False,0 documents
State,wbsec.org,2018,answered,3,False,0 documents
Uttar Dinajpur,uttardinajpur.gov.in,2008,answered,4,False,2 documents
Uttar Dinajpur,uttardinajpur.gov.in,2013,answered,5,False,3 documents
Uttar Dinajpur,uttardinajpur.gov.in,2018,answered,86,False,76 documents
Uttar Dinajpur,uttardinajpur.nic.in,2008,answered,42,False,27 documents
Uttar Dinajpur,uttardinajpur.nic.in,2013,answered,18,False,15 documents
Uttar Dinajpur,uttardinajpur.nic.in,2018,answered,36,False,29 documents
