seats_total,seats_uncontested,seats_election_held,contesting_candidates,CPI(M),CPI,AIFB,RSP,INC,AITC,BJP,CPI(ML),NCP,IND,source_html_row,state,year,district,block_code,block,gram_panchayat,source_url,source_path,source_sha256,issues,review_status
6,0,6,13,5,0,0,0,0,1,0,0,0,0,3,West Bengal,2003,Bardhaman,01,ANDAL,SRIRAMPUR,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
23,0,23,67,14,1,0,0,4,0,0,0,0,4,4,West Bengal,2003,Bardhaman,01,ANDAL,UKHRA,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
24,0,24,51,10,0,0,0,1,12,1,0,0,0,5,West Bengal,2003,Bardhaman,01,ANDAL,ANDAL,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
18,2,16,42,9,5,1,0,1,1,0,0,0,1,6,West Bengal,2003,Bardhaman,01,ANDAL,DAKSHIN KHANDA,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
25,0,25,51,13,2,3,0,5,2,0,0,0,0,7,West Bengal,2003,Bardhaman,01,ANDAL,KAJORA,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
24,15,9,21,11,13,0,0,0,0,0,0,0,0,8,West Bengal,2003,Bardhaman,01,ANDAL,KHANDRA,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
24,0,24,53,16,2,0,0,1,5,0,0,0,0,9,West Bengal,2003,Bardhaman,01,ANDAL,MADANPUR,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
20,0,20,44,12,0,0,0,2,3,3,0,0,0,10,West Bengal,2003,Bardhaman,01,ANDAL,RAMPRASADPUR,http://web.archive.org/web/20090410102356id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=01&blnm=ANDAL,data/wb/vintage_search/raw/d946894f7942cf72.html,c03a81cccf1cef3d94b454142e782d41c78f6cd76ed3c6eda7d2e6fbaff91f51,,source_controls_passed
16,2,14,29,14,0,1,0,0,1,0,0,0,0,3,West Bengal,2003,Bardhaman,02,AUSGRAM-I,UKTA,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
18,3,15,35,18,0,0,0,0,0,0,0,0,0,4,West Bengal,2003,Bardhaman,02,AUSGRAM-I,AUSGRAM,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
18,4,14,30,17,0,1,0,0,0,0,0,0,0,5,West Bengal,2003,Bardhaman,02,AUSGRAM-I,BERENDA,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
21,21,0,0,21,0,0,0,0,0,0,0,0,0,6,West Bengal,2003,Bardhaman,02,AUSGRAM-I,BILLAGRAM,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
11,2,9,20,11,0,0,0,0,0,0,0,0,0,7,West Bengal,2003,Bardhaman,02,AUSGRAM-I,DIGNAGAR-I,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
8,5,3,6,8,0,0,0,0,0,0,0,0,0,8,West Bengal,2003,Bardhaman,02,AUSGRAM-I,DIGNAGAR-II,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
10,6,4,8,9,0,1,0,0,0,0,0,0,0,9,West Bengal,2003,Bardhaman,02,AUSGRAM-I,GUSHKARA-II,http://web.archive.org/web/20090410102950id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=02&blnm=AUSGRAM-I,data/wb/vintage_search/raw/76f4bc415fe46be4.html,eeb477009150bf133c63f96e5dd510e7407c100e4770423b7726cf6eb7986ecc,,source_controls_passed
21,3,18,37,14,0,0,0,1,3,3,0,0,0,3,West Bengal,2003,Bardhaman,03,AUSGRAM-II,RAMNAGAR,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
16,2,14,28,15,0,0,0,1,0,0,0,0,0,4,West Bengal,2003,Bardhaman,03,AUSGRAM-II,AMARPUR,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
17,2,15,34,13,0,1,0,0,3,0,0,0,0,5,West Bengal,2003,Bardhaman,03,AUSGRAM-II,BHALKI,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
