seats_total,seats_uncontested,seats_election_held,contesting_candidates,CPI(M),CPI,AIFB,RSP,INC,AITC,BJP,CPI(ML),NCP,IND,name,source_html_row,issues
164,17,147,342,90,23,4,0,14,24,4,0,0,5,ANDAL,3,
102,43,59,128,98,0,3,0,0,1,0,0,0,0,AUSGRAM-I,4,
120,38,82,172,106,0,1,0,2,8,3,0,0,0,AUSGRAM-II,5,
94,5,89,232,54,3,0,0,14,22,0,0,0,1,BARABANI,6,
228,153,75,165,187,3,12,10,2,7,4,0,0,3,BHATAR,7,
168,80,88,182,149,0,3,5,3,5,0,0,0,3,BURDWAN-I,8,
123,52,71,156,114,0,4,0,1,2,1,0,0,1,BURDWAN-II,9,
93,46,47,111,80,5,2,0,1,2,0,0,0,3,DURGAPUR-FARIDPUR,10,
150,37,113,241,111,9,5,2,2,16,4,0,0,1,GALSI-I,11,
128,26,102,209,80,7,22,0,2,8,4,0,0,5,GALSI-II,12,
215,63,152,326,154,0,1,4,0,11,7,0,0,27,JAMALPUR,13,party_total_mismatch
104,78,26,56,100,3,0,0,0,0,0,1,0,0,JAMURIA,14,
166,25,141,347,116,0,5,0,9,17,17,0,0,2,KALNA I,15,
134,10,124,275,111,0,7,0,3,11,1,0,0,1,KALNA-II,16,
137,24,113,227,129,1,0,0,0,5,1,0,0,1,KANKSA,17,
136,0,136,314,82,0,0,0,53,0,0,0,0,1,KATWA-I,18,
108,0,108,217,76,0,1,0,18,9,4,0,0,0,KATWA-II,19,
124,20,104,233,110,0,0,3,10,0,1,0,0,0,KETUGRAM-I,20,
96,6,90,211,77,0,0,0,16,1,2,0,0,0,KETUGRAM-II,21,
151,87,64,135,133,1,1,12,0,0,1,0,0,3,KHANDOGHOSH,22,
170,43,127,279,157,0,0,0,0,8,2,0,0,3,MEMARI-I,23,
125,40,85,182,117,0,0,0,1,6,0,0,0,1,MEMARI-II,24,
214,14,200,442,179,0,0,1,6,15,11,0,0,2,MONGALKOTE,25,
193,3,190,483,125,0,16,4,15,23,3,0,0,7,MONTESWAR,26,
136,32,104,233,81,21,0,2,17,1,0,0,1,13,PANDABESWAR,27,
152,1,151,419,57,0,0,0,4,53,36,0,0,2,PURBASTHALI-I,28,
154,0,154,408,74,0,0,0,6,34,35,1,0,4,PURBASTHALI-II,29,
153,97,56,115,150,2,0,0,1,0,0,0,0,0,RAINA-I,30,
131,113,18,36,129,0,2,0,0,0,0,0,0,0,RAINA-II,31,
83,73,10,23,76,7,0,0,0,0,0,0,0,0,RANIGANJ,32,
93,3,90,225,55,3,2,0,32,0,1,0,0,0,SALANPUR,33,
