source_path,source_sha256,source_page,gp_row_operations,context_operations,clauses,status
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,1,0,19,"[{""clause"": ""1"", ""source_pages"": [1], ""status"": ""parsed_context"", ""scope"": ""district_heading_renames""}, {""clause"": ""2"", ""source_pages"": [1, 2], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,2,29,0,"[{""clause"": ""2"", ""source_pages"": [1, 2], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""3"", ""source_pages"": [2, 3], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,3,22,0,"[{""clause"": ""3"", ""source_pages"": [2, 3], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""4"", ""source_pages"": [3, 4], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,4,16,0,"[{""clause"": ""4"", ""source_pages"": [3, 4], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""5"", ""source_pages"": [4, 5], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,5,27,0,"[{""clause"": ""5"", ""source_pages"": [4, 5], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,6,24,0,"[{""clause"": ""6"", ""source_pages"": [6], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""7"", ""source_pages"": [6, 7], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,7,22,1,"[{""clause"": ""7"", ""source_pages"": [6, 7], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""8"", ""source_pages"": [7], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}, {""clause"": ""9"", ""source_pages"": [7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,8,42,0,"[{""clause"": ""9"", ""source_pages"": [7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,9,39,0,"[{""clause"": ""9"", ""source_pages"": [7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,10,33,0,"[{""clause"": ""9"", ""source_pages"": [7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""status"": ""parsed_all_gp_operations"", ""scope"": ""gp_president""}]",gp_scope_parsed
