section_id,clause,district_printed,union_printed,operation_type,row_count,source_pages,source_path,source_sha256,manual_readings_sha256
df194d1c50c99a12728e,3,SIVAGANGA,VI. DEVAKOTTAI,replace_section,42,"[2, 3]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
78d5aee08c02869c5b37,5(a),NILGIRIS,I. UDHAGAMANDALAM,replace_section,13,"[4, 5]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
6b01bc4566ad6f4f2150,5(b),NILGIRIS,II. COONOOR,replace_section,6,[5],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
c6c2a3cbfea2271b3e14,5(c),NILGIRIS,III. KOTAGARI,replace_section,11,[5],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
6ec7a3f3646833a9fc59,5(d),NILGIRIS,IV. GUDALUR,replace_section,5,[5],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
cb3ab1c3e0ba8952684d,7,RAMANATHAPURAM,4. R.S. MANGALAM,replace_section,35,"[6, 7]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
2fecb04ff07a7c00e546,9,PERAMBALUR,1. PERAMBALUR,replace_section,20,"[7, 8]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
c446fa30e3650d53ea6c,9,PERAMBALUR,2. VEPPANTHATTAI,replace_section,29,[8],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
e5703ff9f522b8aba9d0,9,PERAMBALUR,3. ALATHUR,replace_section,39,[9],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
7f0b81c1ac54d9a4df79,9,PERAMBALUR,4. VEPUR,replace_section,33,[10],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
242d986129af973b6afa,9,ARIYALUR,1. SENTHURAI,replace_section,30,[11],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
0f4293691901fff241da,9,ARIYALUR,2. ARIYALUR,replace_section,37,[12],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
e3f83d07c3eb093c9b75,9,ARIYALUR,3. THIRUMANUR,replace_section,36,[13],data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
bea1c9231436fc5b6d0b,9,ARIYALUR,4. JAYANKONDAM,replace_section,35,"[13, 14]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
f0ec91719a1fe584192b,9,ARIYALUR,5. ANDIMADAM,replace_section,30,"[14, 15]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
f9733ac58fc416e0d693,9,ARIYALUR,6. T. PALUR,replace_section,33,"[15, 16]",data/source_search/early_heads/raw/tn_1_58_2001_636_en.pdf,5cc758b6cc8ad025f284276c61ce3f24302890783ea0a0233a6f2d4d76051bf3,21c6adf72c62b3c37f685338321e24f6eb3f6056cfba1d0b3503ef1327e4336b
