state,year,district,block,gram_panchayat,seats_contested_printed,seats_declared_printed,party_counts_sum,declared_minus_party_counts,party_counts_cover_declared,AIFB,AITC,BJP,BSP,CPI,CPI(M),INC,MFB,RSP,OTHERS,source_html_row,source_path,source_sha256,source_url
West Bengal,2003,Hooghly,PANDUA,JAYER-DARBASINI,12,15,12,3,False,0,0,0,0,0,11,0,0,0,1,29,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,KHIRKUNDI-NAMAZGRAM,14,14,14,0,True,0,1,0,0,0,10,3,0,0,0,30,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,PANDUA,24,24,24,0,True,0,4,1,0,0,18,1,0,0,0,31,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,ILSOBA-DASPUR,12,13,12,1,False,0,0,0,0,0,12,0,0,0,0,32,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,PANCHGHAR TOREGRAM,8,10,8,2,False,0,0,0,0,0,8,0,0,0,0,33,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,HARAL-DASPUR,14,17,14,3,False,0,1,0,0,0,13,0,0,0,0,34,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,BANTIKA-BOINCHEE,20,20,20,0,True,0,7,0,0,0,13,0,0,0,0,35,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,BERALA-KOCHMALI,12,14,12,2,False,2,0,0,0,0,7,0,0,0,3,36,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,JAMNA,8,10,8,2,False,1,0,0,0,0,6,1,0,0,0,37,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,BELUN-DHAMASIN,17,19,17,2,False,0,1,0,0,0,16,0,0,0,0,38,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
