state,year,district,block,gram_panchayat,seats_contested_printed,seats_declared_printed,party_counts_sum,declared_minus_party_counts,party_counts_cover_declared,AIFB,AITC,BJP,BSP,CPI,CPI(M),INC,MFB,RSP,OTHERS,source_html_row,source_path,source_sha256,source_url
West Bengal,2003,Hooghly,Dhaniakhali,GURAP,17,24,17,7,False,2,3,0,0,0,12,0,0,0,0,68,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,PARAMBUA-SAHABAZAR,1,23,1,22,False,0,0,0,0,0,1,0,0,0,0,69,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,GOPINATHPUR-II,6,10,6,4,False,1,0,0,0,0,5,0,0,0,0,70,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Dhaniakhali,DHANIAKHALI-II,1,13,1,12,False,0,0,0,0,0,1,0,0,0,0,71,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,SRIPUR ELLAHIPUR,15,15,15,0,True,0,4,0,0,0,11,0,0,0,0,72,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,CHANDANPUR,13,13,13,0,True,0,7,0,0,0,3,1,0,0,2,73,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,DWARHATTA,0,16,0,16,False,0,0,0,0,0,0,0,0,0,0,74,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,PANTRA,8,13,8,5,False,0,0,0,0,0,8,0,0,0,0,75,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,NALIKUL PASCHIM,8,17,8,9,False,1,0,0,0,0,7,0,0,0,0,76,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,NALIKUL PURBA,16,17,16,1,False,0,2,0,0,0,14,0,0,0,0,77,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,HARIPAL-ASUTOSH,3,19,3,16,False,0,0,0,0,0,3,0,0,0,0,78,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,PASCHIM GOPINATHPUR,0,15,0,15,False,0,0,0,0,0,0,0,0,0,0,79,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,NARAYANPUR BAHIRKHAND,0,16,0,16,False,0,0,0,0,0,0,0,0,0,0,80,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,HARIPUR KINKARBATI,1,12,1,11,False,0,0,0,0,0,1,0,0,0,0,81,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,BANDIPUR,1,17,1,16,False,0,0,0,0,0,1,0,0,0,0,82,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,JEJUR,5,14,5,9,False,1,0,0,0,0,4,0,0,0,0,83,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,ALIPUR-KASIPUR,7,16,7,9,False,0,1,0,0,0,6,0,0,0,0,84,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,HARIPAL-SAHADEB,11,16,11,5,False,0,0,0,0,0,11,0,0,0,0,85,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Haripal,KAIKALA,0,14,0,14,False,0,0,0,0,0,0,0,0,0,0,86,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Tarakeswar,TALPUR,19,19,19,0,True,0,2,0,0,0,15,0,2,0,0,87,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
