source_file,sha256,tier,control_page,category,printed_offices,printed_reserved,extracted_mentions,difference,review_status
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,gp_head,2,SC,64,17,17,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,gp_head,2,ST,64,15,15,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,gp_head,2,BC,64,0,0,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,gp_head,2,women,64,32,32,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,gp_deputy,2,SC,64,7,7,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,gp_deputy,2,ST,64,8,7,-1,printed_control_discrepancy_requires_review
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,gp_deputy,2,BC,64,0,0,0,count_reconciled_not_name_accuracy
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,gp_deputy,2,women,64,8,8,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,gp_head,2,SC,64,17,17,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,gp_head,2,ST,64,15,15,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,gp_head,2,BC,64,0,0,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,gp_head,2,women,64,32,32,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,gp_deputy,2,SC,64,7,7,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,gp_deputy,2,ST,64,8,7,-1,printed_control_discrepancy_requires_review
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,gp_deputy,2,BC,64,0,0,0,count_reconciled_not_name_accuracy
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,gp_deputy,2,women,64,8,8,0,count_reconciled_not_name_accuracy
