source_file,sha256,pages_expected,pages_accounted,positive_mentions,categories,quality_statement
2023/alipurduar/final_order_for_reservation_of_office_bearer_icw_zilla_parishad_view_pdf_2_mb_2023030243.pdf,e832905b97b1a389c628e510abfc927981763be13e1b0864bdcf8a06ded80651,4,4,29,"{""SC"": 11, ""ST"": 2, ""BC"": 3, ""women"": 13}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,3,3,64,"{""ST"": 15, ""women"": 32, ""SC"": 17}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form1b_sabhapati_view_pdf_508_kb_2023030213.pdf,d95d88ab6414b9ba10c818165f350d2fb881189c8d2f5a2edd102c1299e8d1e9,2,2,6,"{""ST"": 1, ""SC"": 2, ""women"": 3}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form1b_sahakari_sabhapati_view_pdf_486_kb_2023030255.pdf,050451281ac4ff997842d0999d42344f99886a323d9f367152028d00ae5f57bb,2,2,1,"{""SC"": 1}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,2,2,22,"{""SC"": 7, ""ST"": 7, ""women"": 8}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,3,3,64,"{""ST"": 15, ""women"": 32, ""SC"": 17}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form_1a_sabhapati_view_pdf_628_kb_2023030297.pdf,905fe1f58a347fc95973bcae468d16871f8a04eb116461b63ede602707b3b6ce,2,2,6,"{""ST"": 1, ""SC"": 2, ""women"": 3}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form_1a_sahakari_sabhapati_view_pdf_611_kb_2023030273.pdf,535bb0e14f8cc7fc02760873bd41b7a720425bb8c4a325c0ca7a60fefb143c18,2,2,1,"{""SC"": 1}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,2,2,22,"{""SC"": 7, ""ST"": 7, ""women"": 8}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/alipurduar/west_bengal_stat_election_commission_draft_order_for_reservation_of_office_bearer_icw_zilla_parishad_2023_view_2023030237.pdf,e6e6140ef80b5998ce7dc02385ef014f3ddeb67ce154133f62ff060dd94b609d,2,2,29,"{""SC"": 11, ""ST"": 2, ""BC"": 3, ""women"": 13}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/gp_sources/birbhum_form_1b_prodhan_2_mb.pdf,3d2bcfd846d98b2e0b02fa2d644686bcecbe023e9014577d3349a9c877497250,6,6,161,"{""ST"": 12, ""women"": 82, ""BC"": 20, ""SC"": 47}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/gp_sources/birbhum_form_1b_upa_pradhan_723_kb.pdf,1c238d8a73dbbc4083f4bcea8dbc3ccca1e4ded7100f7e9d88cbaf0d5eee8fef,2,2,61,"{""SC"": 33, ""women"": 21, ""ST"": 7}",Extraction counts are not accuracy; cells await review; absence remains unknown.
2023/gp_sources/cooch_behar_final_office_reservations.pdf,322ba5a0cfee1abe610e3d00a16966e20ae1b72e6b113746705c81d34a2baea1,9,9,192,"{""SC"": 104, ""women"": 87, ""ST"": 1}",Extraction counts are not accuracy; cells await review; absence remains unknown.
gp_source_search/historical_expansion/nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339,7,7,254,"{""SC"": 95, ""women"": 114, ""BC"": 35, ""ST"": 10}",Extraction counts are not accuracy; cells await review; absence remains unknown.
gp_source_search/historical_expansion/s24pgs_267-SEC-Form1D-Sabhadhipati_ReservationFO_834b6a56.pdf,08d7b1fb879fc3799edbf725f8b7023e9f9c8e203b04e44de7d3d44c6954abbb,2,2,29,"{""SC"": 10, ""BC"": 4, ""ST"": 2, ""women"": 13}",Extraction counts are not accuracy; cells await review; absence remains unknown.
