source_file,sha256,page,page_kind,cell_count,row_rules,column_rules,review_status
2023/alipurduar/final_order_for_reservation_of_office_bearer_icw_zilla_parishad_view_pdf_2_mb_2023030243.pdf,e832905b97b1a389c628e510abfc927981763be13e1b0864bdcf8a06ded80651,1,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/final_order_for_reservation_of_office_bearer_icw_zilla_parishad_view_pdf_2_mb_2023030243.pdf,e832905b97b1a389c628e510abfc927981763be13e1b0864bdcf8a06ded80651,2,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/final_order_for_reservation_of_office_bearer_icw_zilla_parishad_view_pdf_2_mb_2023030243.pdf,e832905b97b1a389c628e510abfc927981763be13e1b0864bdcf8a06ded80651,3,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/final_order_for_reservation_of_office_bearer_icw_zilla_parishad_view_pdf_2_mb_2023030243.pdf,e832905b97b1a389c628e510abfc927981763be13e1b0864bdcf8a06ded80651,4,office_schedule,29,[],[],visually_transcribed_all_positive_names
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,1,order_cover,0,[],[],visually_inspected_no_named_schedule
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,2,office_schedule,78,"[3, 588, 650, 712, 775, 838, 902, 965, 1028, 1092, 1154, 1217, 1281, 1344, 1407, 1470, 1532, 1596, 1658, 1721, 1785, 1848, 1912, 1975, 2037, 2099, 2161, 2224, 2286, 2349, 2411, 2474, 2535, 2598, 2659, 2721, 2782, 2842, 2903, 2964, 3025, 3086]","[947, 1815, 2286]",layout_visually_inspected_cells_require_review
2023/alipurduar/form1b_pradhan_view_pdf_914_kb_2023030228.pdf,4c6f94270d610059c90b650646b82d200067bfdddd9993c3087c2ef5a9e93899,3,office_schedule,30,"[4, 588, 651, 715, 777, 840, 903, 966, 1029, 1092, 1156, 1219, 1281, 1344, 1406, 1469, 1532, 1595]","[948, 1813, 2278]",layout_visually_inspected_cells_require_review
2023/alipurduar/form1b_sabhapati_view_pdf_508_kb_2023030213.pdf,d95d88ab6414b9ba10c818165f350d2fb881189c8d2f5a2edd102c1299e8d1e9,1,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/form1b_sabhapati_view_pdf_508_kb_2023030213.pdf,d95d88ab6414b9ba10c818165f350d2fb881189c8d2f5a2edd102c1299e8d1e9,2,office_schedule,6,[],[],visually_transcribed_all_positive_names
2023/alipurduar/form1b_sahakari_sabhapati_view_pdf_486_kb_2023030255.pdf,050451281ac4ff997842d0999d42344f99886a323d9f367152028d00ae5f57bb,1,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/form1b_sahakari_sabhapati_view_pdf_486_kb_2023030255.pdf,050451281ac4ff997842d0999d42344f99886a323d9f367152028d00ae5f57bb,2,office_schedule,1,[],[],visually_transcribed_all_positive_names
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,1,order_cover,0,[],[],visually_inspected_no_named_schedule
2023/alipurduar/form1b_upa_pradhan_view_pdf_590_kb_2023030278.pdf,bbd210aed7e3b06d6339440eb52b3e638dd76c020bb640c458addef5523f7ae5,2,office_schedule,44,"[4, 526, 590, 675, 816, 900, 983, 1066, 1151, 1235, 1319, 1402, 1486, 1569, 1653, 1737, 1820, 1904, 1988, 2072, 2155, 2237, 2319, 2400, 2483]","[947, 1726, 2286]",layout_visually_inspected_cells_require_review
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,1,order_cover,0,[],[],visually_inspected_no_named_schedule
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,2,office_schedule,78,"[7, 594, 658, 722, 787, 850, 913, 975, 1038, 1101, 1164, 1226, 1288, 1351, 1414, 1476, 1538, 1601, 1663, 1726, 1788, 1851, 1913, 1975, 2036, 2098, 2160, 2222, 2285, 2348, 2411, 2474, 2537, 2600, 2663, 2726, 2789, 2851, 2913, 2976, 3039, 3102]","[960, 1833, 2317]",layout_visually_inspected_cells_require_review
2023/alipurduar/form_1a_pradhan_view_pdf_1_mb_2023030211.pdf,103f216a2639fd1d114f26e87ed846966ca61d8756623d85fdb86088ea32a5a1,3,office_schedule,30,"[12, 601, 665, 730, 795, 858, 923, 987, 1050, 1115, 1179, 1243, 1306, 1370, 1434, 1498, 1562, 1626]","[941, 1806, 2287]",layout_visually_inspected_cells_require_review
2023/alipurduar/form_1a_sabhapati_view_pdf_628_kb_2023030297.pdf,905fe1f58a347fc95973bcae468d16871f8a04eb116461b63ede602707b3b6ce,1,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/form_1a_sabhapati_view_pdf_628_kb_2023030297.pdf,905fe1f58a347fc95973bcae468d16871f8a04eb116461b63ede602707b3b6ce,2,office_schedule,6,[],[],visually_transcribed_all_positive_names
2023/alipurduar/form_1a_sahakari_sabhapati_view_pdf_611_kb_2023030273.pdf,535bb0e14f8cc7fc02760873bd41b7a720425bb8c4a325c0ca7a60fefb143c18,1,order_cover,0,[],[],visually_inspected_notice_text_cached
2023/alipurduar/form_1a_sahakari_sabhapati_view_pdf_611_kb_2023030273.pdf,535bb0e14f8cc7fc02760873bd41b7a720425bb8c4a325c0ca7a60fefb143c18,2,office_schedule,1,[],[],visually_transcribed_all_positive_names
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,1,order_cover,0,[],[],visually_inspected_no_named_schedule
2023/alipurduar/form_1a_upa_pradhan_view_pdf_737_kb_2023030292.pdf,c94f363f20effead613bd74ad5c6885fd2b4bd2904641a1740653c2a5880f706,2,office_schedule,44,"[11, 531, 595, 679, 820, 904, 987, 1070, 1151, 1232, 1315, 1397, 1480, 1562, 1645, 1728, 1811, 1893, 1975, 2058, 2141, 2225, 2310, 2394, 2478]","[955, 1734, 2305]",layout_visually_inspected_cells_require_review
2023/alipurduar/west_bengal_stat_election_commission_draft_order_for_reservation_of_office_bearer_icw_zilla_parishad_2023_view_2023030237.pdf,e6e6140ef80b5998ce7dc02385ef014f3ddeb67ce154133f62ff060dd94b609d,1,office_schedule,20,[],[],visually_transcribed_all_positive_names
2023/alipurduar/west_bengal_stat_election_commission_draft_order_for_reservation_of_office_bearer_icw_zilla_parishad_2023_view_2023030237.pdf,e6e6140ef80b5998ce7dc02385ef014f3ddeb67ce154133f62ff060dd94b609d,2,office_schedule,9,[],[],visually_transcribed_all_positive_names
