source_sha256,source_page,source_path,district,election_year,document_reference_year,content_kind,stage,inventory_scopes,native_page_extracted,native_text_characters,native_tables,parsers,parser_evidence,ward_ocr_state,base_ocr_state,routing_status
00f2e4ee7d90b6fb3de7f2f2562f402eae055a4eaec5e28dc8f722d7278c7ecb,1,data/wb/2023/alipurduar/alipurduar_ii_form_a_chaporerpar_i_pdf_0_98mb_2023030285.pdf,Alipurduar,2023,,gp_ward,final,gp_source_search,True,0,0,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""ocr_extracted_semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",ocr_cache_exists,,parser_audited
00f2e4ee7d90b6fb3de7f2f2562f402eae055a4eaec5e28dc8f722d7278c7ecb,2,data/wb/2023/alipurduar/alipurduar_ii_form_a_chaporerpar_i_pdf_0_98mb_2023030285.pdf,Alipurduar,2023,,gp_ward,final,gp_source_search,True,0,0,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""ocr_extracted_semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",ocr_cache_exists,,parser_audited
030ca654009bebed7e91f42f29aeef4bc8c31b9352235c0a894c7c32f85a46b6,1,data/wb/2023/alipurduar/alipurduar_ii_form_a_mahakalguri_pdf_1_25mb_2023030241.pdf,Alipurduar,2023,,gp_ward,final,gp_source_search,True,0,0,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""ocr_extracted_semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",ocr_cache_exists,,parser_audited
030ca654009bebed7e91f42f29aeef4bc8c31b9352235c0a894c7c32f85a46b6,2,data/wb/2023/alipurduar/alipurduar_ii_form_a_mahakalguri_pdf_1_25mb_2023030241.pdf,Alipurduar,2023,,gp_ward,final,gp_source_search,True,0,0,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""ocr_extracted_semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",ocr_cache_exists,,parser_audited
030ca654009bebed7e91f42f29aeef4bc8c31b9352235c0a894c7c32f85a46b6,3,data/wb/2023/alipurduar/alipurduar_ii_form_a_mahakalguri_pdf_1_25mb_2023030241.pdf,Alipurduar,2023,,gp_ward,final,gp_source_search,True,0,0,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""ocr_extracted_semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",ocr_cache_exists,,parser_audited
03a43d88e6a1545e035b50a97acbfa62383bfab88ffad8832fcea06aa82d8e14,1,data/wb/gp_source_search/historical_expansion/coochbehar_FormBTFG1_3be72cef.pdf,Cooch Behar,2018,,reservation_or_election_source,draft,gp_source_search,True,2366,1,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",,,parser_audited
03a43d88e6a1545e035b50a97acbfa62383bfab88ffad8832fcea06aa82d8e14,2,data/wb/gp_source_search/historical_expansion/coochbehar_FormBTFG1_3be72cef.pdf,Cooch Behar,2018,,reservation_or_election_source,draft,gp_source_search,True,1749,1,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",,,parser_audited
03a43d88e6a1545e035b50a97acbfa62383bfab88ffad8832fcea06aa82d8e14,3,data/wb/gp_source_search/historical_expansion/coochbehar_FormBTFG1_3be72cef.pdf,Cooch Behar,2018,,reservation_or_election_source,draft,gp_source_search,True,1286,1,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",,,parser_audited
03a43d88e6a1545e035b50a97acbfa62383bfab88ffad8832fcea06aa82d8e14,4,data/wb/gp_source_search/historical_expansion/coochbehar_FormBTFG1_3be72cef.pdf,Cooch Behar,2018,,reservation_or_election_source,draft,gp_source_search,True,1548,1,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",,,parser_audited
03a43d88e6a1545e035b50a97acbfa62383bfab88ffad8832fcea06aa82d8e14,5,data/wb/gp_source_search/historical_expansion/coochbehar_FormBTFG1_3be72cef.pdf,Cooch Behar,2018,,reservation_or_election_source,draft,gp_source_search,True,1526,1,ward_schedules,"[{""parser"": ""ward_schedules"", ""status"": ""semantic_review_required"", ""audit"": ""data/wb/derived/ward_schedules/page_audit.json"", ""ocr_path"": null, ""ocr_sha256"": null}]",,,parser_audited
