file,url,archive_url,capture,retrieved_at,district_domain,status,bytes,sha256
nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,http://nadia.nic.in/Election/Panchayat%20General%20Election%20-%20final%20book(election%202013).pdf,https://web.archive.org/web/20140703205812id_/http://nadia.nic.in/Election/Panchayat%20General%20Election%20-%20final%20book(election%202013).pdf,20140703205812,2026-09-06,nadia.nic.in,downloaded,10067095,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43
nadia_Pradhan_20_20Upa-Pradhan_025b28f9.pdf,http://nadia.nic.in/Election/Pradhan%20&%20Upa-Pradhan.pdf,https://web.archive.org/web/20140703221117id_/http://nadia.nic.in/Election/Pradhan%20&%20Upa-Pradhan.pdf,20140703221117,2026-09-06,nadia.nic.in,downloaded,3806260,79149d93b415487624be4a476a3d59c1877b9db25f6c60243caf9583bffb5339
nadia_Chanduria-I_6c2262a2.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-I.pdf,https://web.archive.org/web/20090410075027id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-I.pdf,20090410075027,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410075027id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Chanduria-II_61a7353a.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-II.pdf,https://web.archive.org/web/20090410073550id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-II.pdf,20090410073550,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073550id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Chanduria-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Dewli_273789c8.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dewli.pdf,https://web.archive.org/web/20090410072118id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dewli.pdf,20090410072118,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072118id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dewli.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Dubra_32235c0c.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dubra.pdf,https://web.archive.org/web/20090410074102id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dubra.pdf,20090410074102,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074102id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Dubra.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Ghetugachi_1418c9e2.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Ghetugachi.pdf,https://web.archive.org/web/20090410074456id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Ghetugachi.pdf,20090410074456,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074456id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Ghetugachi.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Hingnara_f740e87d.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Hingnara.pdf,https://web.archive.org/web/20090410074817id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Hingnara.pdf,20090410074817,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074817id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Hingnara.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Kanchrapara_ab361d0d.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Kanchrapara.pdf,https://web.archive.org/web/20090410074031id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Kanchrapara.pdf,20090410074031,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074031id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Kanchrapara.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Madanpur-I_aaeda938.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-I.pdf,https://web.archive.org/web/20090410073934id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-I.pdf,20090410073934,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073934id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
