1 2 3
Sulur Panchayat Union Contd.,
5 Kalangal General(Women)
6 Kangeyampalayam General(Women)
7 Paduvampalli General(Women)
8 Pattanam General(Women)
9 Arasur General
10 Chinniampalayam General
11 Karavalimadappur General
12 Kaduvettipalayam General
13 Kaniyur General
14 Muthugoundenpudur General
15 Mylampatti General
16 Peedampalli General
17 Rasipalayam General
Sarkarsamakulam Panchayat Union
1 Agrakarasamakulam SC(General)
2 Athipalayam General(Women)
3 Kondayampalayam General(Women)
4 Vellamadai General(Women)
5 Kallipalayam General
6 Keeranatham General
7 Vellanaipatti General
Page 73
