APURAM DISTRICT
chayat Presidents
ribes and Women in the Village Panchayat President in Tamil
adu State.
Name of the Village Category to which
Sl.No
Panchayat reservation is made
1 2 3
Thiruppullani Panchayat Union Contd.
20 Kalari General
21 Thathanendal General
22 Alangulam General
23 Mayakulam General
24 Utharakosaimangai General
25 Tiruppullani General
26 Thinakulam General
27 Kombuthi General
28 Pathiratharavai General
29 Vannangundu General
30 Nainamarikaan General
31 Periyapattinam General
32 Kalimangundu General
33 Methalodai General
Mandapam Panchayat Union
1 Valantharavai SC(General)
2 Puduvalasai General (Women)
3 Kusavankudi General(Women)
4 Therbogi General(Women)
5 Perungulam General(Women)
6 Pattinamkathan General(Women)
7 Karan General(Women)
8 Thamaraikulam General(Woman)
9 Enmanamkondan General (Women)
10 Vedalai General(Women)
11 Nochiyuranni General(Women)
12 Pudumadam General
13 Panaikulam General
14 Alagankulam General
15 Irumeni General
16 Attangarai General
17 Vellarioodai General
18 Manankudi General
19 Pirappanvalasai General
20 Sathakonvalasai General
21 Rettaiyurani General
22 Sembadaiyarkulam General
23 Kumbaram General
24 Pamban General
25 Keelanagachi General
26 Thangachimadam General
27 Koravalli General
28 Maraikayarpattinam General
