1 2 3
Ramakrishnaraju Pet Panchayat Union Contd.
17 Kadananagaram General(Women)
18 Vanganoor General(Women)
19 Thirunatharajapuram General
20 Veeramangalam General
21 Mahaankaaligapuram General
22 Vediyangadu General
23 Rajanagaram General
24 Ayyaneri General
25 Paivalasa General
26 Aswaravanthapuram General
27 Meesarakandapuram General
28 Veeranathur General
29 Devalambapuram General
30 Pedharamapuram General
31 Venkataperumalrajapuram General
32 Ammaiyarkuppam General
33 Srikalikapuram General
34 Kandapuram General
35 Makkambapuram General
36 Sahasrapadmapuram General
37 Narayanapuram General
38 Neelothbalapuram General
