group,district,union,start_page,end_page,rows,category_counts
1,Kancheepuram District,KANCHEEPURAM PANCHAYAT UNION,3,3,40,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 8, 'generalwomen': 10, 'general': 17}"
2,Kancheepuram District,WALAJABAD PANCHAYAT UNION,3,4,61,"{'stgeneral': 1, 'scwomen': 7, 'scgeneral': 13, 'generalwomen': 14, 'general': 26}"
3,Kancheepuram District,UTHIRAMERUR PANCHAYAT UNION,4,4,73,"{'scwomen': 9, 'scgeneral': 17, 'generalwomen': 16, 'general': 31}"
4,Kancheepuram District,SRIPERUMBUDUR PANCHAYAT UNION,5,5,58,"{'stgeneral': 1, 'scwomen': 7, 'scgeneral': 14, 'generalwomen': 13, 'general': 23}"
5,Kancheepuram District,KUNDRATHUR PANCHAYAT UNION,5,6,42,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 9, 'general': 16}"
6,Kancheepuram District,KATTANKOLATHUR PANCHAYAT UNION,6,6,39,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 8, 'generalwomen': 9, 'general': 17}"
7,Kancheepuram District,THIRUPORUR .PANCHAYAT UNION,6,7,50,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 12, 'generalwomen': 11, 'general': 20}"
8,Kancheepuram District,THIRUKKALUKUNDRAM PANCHAYAT UNION,7,7,54,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 10, 'generalwomen': 12, 'general': 25}"
9,Kancheepuram District,MADURANTAKAM PANCHAYAT UNION,7,8,58,"{'stgeneral': 1, 'scwomen': 10, 'scgeneral': 18, 'generalwomen': 10, 'general': 19}"
10,Kancheepuram District,ACHARAPAKKAM PANCHAYAT UNION,8,8,59,"{'stgeneral': 1, 'scwomen': 8, 'scgeneral': 14, 'generalwomen': 12, 'general': 24}"
11,Kancheepuram District,CHITHAMUR PANCHAYAT UNION,9,9,43,"{'stgeneral': 1, 'scwomen': 8, 'scgeneral': 13, 'generalwomen': 7, 'general': 14}"
12,Kancheepuram District,LATHUR PANCHAYAT UNION,9,9,41,"{'scwomen': 6, 'scgeneral': 12, 'generalwomen': 8, 'general': 15}"
13,Kancheepuram District,ST.THOMAS MOUNT PANCHAYAT UNION,9,9,15,"{'scwomen': 2, 'scgeneral': 1, 'generalwomen': 5, 'general': 7}"
14,TIRUVALLUR DISTRICT,Villivakkam Panchayat Union,10,10,13,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 6}"
15,TIRUVALLUR DISTRICT,Puzhal Panchayat Union,10,10,7,"{'scgeneral': 1, 'generalwomen': 2, 'general': 4}"
16,TIRUVALLUR DISTRICT,Minjur Panchayat Union,10,10,55,"{'stgeneral': 1, 'scwomen': 7, 'scgeneral': 13, 'generalwomen': 12, 'general': 22}"
17,TIRUVALLUR DISTRICT,Sholavaram Panchayat Union,11,11,39,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 7, 'generalwomen': 9, 'general': 18}"
18,TIRUVALLUR DISTRICT,Gummidipoondi Panchayat Union,11,12,61,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 10, 'generalwomen': 15, 'general': 29}"
19,TIRUVALLUR DISTRICT,Poonamallee Panchayat Union,12,12,28,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 6, 'general': 12}"
20,TIRUVALLUR DISTRICT,Tiruvallur Panchayat Union,12,12,38,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 10, 'generalwomen': 8, 'general': 14}"
21,TIRUVALLUR DISTRICT,Kadambathur Panchayat Union,12,13,43,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 8, 'generalwomen': 10, 'general': 19}"
22,TIRUVALLUR DISTRICT,Poondi Panchayat Union,13,13,49,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 6, 'scgeneral': 11, 'generalwomen': 10, 'general': 20}"
23,TIRUVALLUR DISTRICT,Ellapuram Panchayat Union,13,14,53,"{'stgeneral': 1, 'scwomen': 7, 'scgeneral': 12, 'generalwomen': 11, 'general': 22}"
24,TIRUVALLUR DISTRICT,Tiruttani Panchayat Union,14,14,27,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 6, 'general': 13}"
25,TIRUVALLUR DISTRICT,Thiruvalangadu Panchayat Union,14,14,42,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 8, 'generalwomen': 9, 'general': 19}"
26,TIRUVALLUR DISTRICT,Pallipet Panchayat Union,15,15,33,"{'stwomen': 1, 'scwomen': 3, 'scgeneral': 5, 'generalwomen': 7, 'general': 17}"
27,TIRUVALLUR DISTRICT,RamakrishnarajuPet Panchayat Union,15,15,38,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 9, 'UNKNOWN_BLANK': 1, 'general': 20}"
28,CUDDALORE DISTRICT,CUDDALORE PANCHAYAT UNION,16,16,51,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 12, 'general': 25}"
29,CUDDALORE DISTRICT,ANNAGRAMAM PANCHAYAT UNION,16,17,42,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 9, 'general': 19}"
30,CUDDALORE DISTRICT,PANRUTI PANCHAYAT UNION,17,17,42,"{'scwomen': 2, 'scgeneral': 6, 'generalwomen': 11, 'general': 23}"
31,CUDDALORE DISTRICT,KURINJIPADI PANCHAYAT UNION,17,18,51,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 11, 'general': 24}"
32,CUDDALORE DISTRICT,KATTUMANNARKOIL PANCHAYAT UNION,18,18,55,"{'scwomen': 8, 'scgeneral': 14, 'generalwomen': 11, 'general': 22}"
33,CUDDALORE DISTRICT,KUMARATCHI PANCHAYAT UNION,18,19,57,"{'scwomen': 8, 'scgeneral': 15, 'generalwomen': 11, 'general': 23}"
34,CUDDALORE DISTRICT,KEERAPALAYAM PANCHAYAT UNION,19,19,63,"{'scwomen': 9, 'scgeneral': 16, 'generalwomen': 12, 'general': 26}"
35,CUDDALORE DISTRICT,MELBHUVANAGIRI PANCHAYAT UNION,19,20,47,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 10, 'general': 20}"
36,CUDDALORE DISTRICT,PARANGIPETTAI PANCHAYAT UNION,20,20,41,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 10, 'general': 19}"
37,CUDDALORE DISTRICT,VIRUDHACHALAM PANCHAYAT UNION,20,21,51,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 11, 'general': 24}"
38,CUDDALORE DISTRICT,KAMMAPURAM PANCHAYAT UNION,21,22,53,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 13, 'general': 26}"
39,CUDDALORE DISTRICT,NALLUR PANCHAYAT UNION,22,22,64,"{'scwomen': 10, 'scgeneral': 18, 'generalwomen': 12, 'general': 24}"
40,CUDDALORE DISTRICT,MANGALORE PANCHAYAT UNION,22,23,66,"{'scwomen': 9, 'scgeneral': 18, 'generalwomen': 13, 'general': 26}"
41,VILUPPURAM DISTRICT,TIRUKOILUR PANCHAYAT UNION,24,24,52,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 12, 'general': 24}"
42,VILUPPURAM DISTRICT,MUGAIYUR PANCHAYAT UNION,24,25,63,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 12, 'generalwomen': 15, 'general': 29}"
43,VILUPPURAM DISTRICT,THIRUVENNAINALLUR PANCHAYAT UNION,25,25,49,"{'scwomen': 5, 'scgeneral': 9, 'generalwomen': 12, 'general': 23}"
44,VILUPPURAM DISTRICT,THIRUNAVALUR PANCHAYAT UNION,25,25,44,"{'scwomen': 5, 'scgeneral': 8, 'generalwomen': 10, 'general': 21}"
45,VILUPPURAM DISTRICT,ULUNDURPET PANCHAYAT UNION,25,26,53,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 12, 'general': 25}"
46,VILUPPURAM DISTRICT,KANAI PANCHAYAT UNION,26,26,51,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 13, 'general': 26}"
