1 2 3
PONNAMARAVATHY PANCHAYAT UNION
1 P.Usilampatti SC(Women)
2 Konnaippatti SC(Women)
3 Edayathur SC(Women)
4 Sundaram SC(General)
5 Keelathaniam SC(General)
6 Sevalur SC(General)
7 Valakurichi SC(General)
8 Mullipatti General(Women)
9 Vegupatti General(Women)
10 Alampatti General(Women)
11 Karaiyur General(Women)
12 Kovanur General(Women)
13 Melathaniyam General(Women)
14 M.Usilampatti General(Women)
15 Seranur General(Women)
16 Nagarappatti General(Women)
17 Thenur General(Women)
18 Maravamadurai General(Women)
19 Oliamangalam General
20 Melamelanilai General
21 Kattupatti General
22 Vendanpatti General
23 Melasivapuri General
24 Nerinjikudi General
25 Semboothi General
26 Konnaiyampatti General
27 Ammankurichi General
28 Kallampatti General
29 Coodalur General
30 Koppanapatti General
31 Enathi General
32 R.Palakurichi General
33 Mylapore General
34 Varpattu General
35 Thottiampatti General
36 Kandianatham General
37 Thuthur General
38 Nallur General
39 Arasamalai General
40 Thirukulambur General
41 Alavayal General
42 Bagavandipatti General
PUDUKKOTTAI PANCHAYAT UNION
1 Ganapathipuram SC(Women)
2 M. Kulavaipatti SC(Women)
3 Kallukaranpatti SC(General)
4 Manaviduthy SC(General)
5 Valavampatti SC(General)
6 Vannarapatti SC(General)
7 9B Nathampannai (Purakarai) General(Women)
8 Sembattur General(Women)
9 Kuppayampatti General(Women)
Page 110
