1 2 3
Poondi Panchayat Union Contd.
27 Thomur General(Women)
28 Karanisampet General(Women)
29 Ramalingapuram General(Women)
30 Neyveli General
31 Ramathandalam General
32 Meyyur General
33 Thirupachur General
34 Melakkaramanur General
35 Ariyathur General
36 Ananderi General
37 Ammambakkam General
38 Nelvoy General
39 Movur General
40 Kalavai General
41 Velagapuram General
42 Placepalayam General
43 Mambakkam General
44 Kunnavalam General
45 Pattaraiperumbudur General
46 Chithambakkam General
47 Nandhimangalam General
48 Devandavakkam General
49 Perunjeri General
Ellapuram Panchayat Union
1 Senjiagaram ST(General)
2 Kilambakkam SC(Women)
3 Sethupakkam SC(Women)
4 Tirunilai SC(Women)
5 Athupakkam SC(Women)
6 Sembedu SC(Women)
7 Mamballam SC(Women)
8 Sengarai SC(Women)
9 Neyveli SC(General)
10 Panayancheri SC(General)
11 Tharatchi SC(General)
12 Kannigapuram SC(General)
13 Kumarapettai SC(General)
14 Maduravaasal SC(General)
15 Maagaral SC(General)
16 82 Panapakkam SC(General)
17 Perandur SC(General)
18 Periyapalayam SC(General)
19 Poorivakkam SC(General)
20 Soolaimeni SC(General)
21 Akkarapakkam General(Women)
22 Ayilacheri General(Women)
23 Boochiathippedu General(Women)
24 Enambakkam General(Women)
