1 2 3
Sholavaram Panchayat Union
1 Vadakkunallur ST(General)
2 Athur SC(Women)
3 Nerkundram SC(Women)
4 Neduvarambakkam SC(Women)
5 Panchetty SC(Women)
6 Andarkuppam SC(General)
7 Perungavoor SC(General)
8 Periamullaivoyal SC(General)
9 Amoor SC(General)
10 Sholavaram SC(General)
11 Angadu SC(General)
12 Budur SC(General)
13 Orakkadu General(Women)
14 Malivakkam General(Women)
15 Gnayiru General(Women)
16 Old Erumaivettipalayam General(Women)
17 Alamathi General(Women)
18 Kummanoor General(Women)
19 Vellivoyal General(Women)
20 Bondavakkam General(Women)
21 Madhavaram General(Women)
22 Athippedu General
23 Arumandai General
24 Bandikkavanur General
25 Chinnambedu General
26 New Erumaivettipalayam General
27 Jagannathapuram General
28 Karanodai General
29 Malliankuppam General
30 Natham General
31 Nallur General
32 Padianallur General
33 Mafuskhanpettai General
34 Seemavaram General
35 Vitchoor General
36 Sothuperumbedu General
37 Thirunilai General
38 Valuthigaimedu General
39 Alinjivakkam General
Gummidipoondi Panchayat Union
1 Manellore ST(General)
2 Annappanaickenkuppam SC(Women)
3 Enadhimelpakkam SC(Women)
4 Erukkauvai SC(Women)
5 Kilmudalambedu SC(Women)
6 Palavakkam SC(Women)
7 Karadipudur SC(Women)
8 Chedilpakkam SC(General)
Page 9
