source_page,midpoint,parsed_rows
3,345.12,83
4,345.12,91
5,345.12,90
6,345.12,90
7,345.12,90
8,345.12,90
9,345.12,99
10,330.84,75
11,330.84,95
12,330.84,93
13,330.84,94
14,330.84,98
15,330.84,71
16,333.48,81
17,333.48,94
18,333.48,94
19,333.48,94
20,333.48,94
21,333.48,95
22,333.48,100
23,333.48,31
24,342.6,104
25,342.6,115
26,342.6,116
27,342.6,115
28,342.6,116
29,342.6,116
30,342.6,114
31,342.6,117
32,342.6,116
33,342.6,70
34,344.52,80
35,344.52,78
36,344.52,96
37,344.52,83
38,344.52,86
39,344.52,81
40,344.52,80
41,344.52,80
42,344.52,79
43,346.92,81
44,346.92,90
45,346.92,80
46,346.92,79
47,346.92,78
48,346.92,79
49,346.92,78
50,346.92,81
51,346.92,79
52,346.92,78
53,346.92,57
54,324.0,84
55,324.0,96
56,324.0,99
57,324.0,102
58,324.0,4
59,334.56,75
60,334.56,84
61,334.56,77
62,334.56,86
63,334.8,60
64,334.8,67
65,334.8,62
66,334.8,62
67,342.0,98
68,342.0,116
69,342.0,103
70,342.0,16
71,354.48,107
72,354.48,118
73,359.52,91
74,359.52,107
75,359.52,30
76,331.2,93
77,331.6,110
78,331.2,62
79,369.48,35
80,327.12,90
81,327.12,103
82,327.12,107
83,327.12,102
84,327.12,102
85,327.12,85
86,355.56,112
87,355.56,124
88,355.56,118
89,355.56,80
90,338.88,92
91,338.88,106
92,338.88,106
93,338.88,105
94,338.88,21
95,354.96,47
96,354.96,41
97,354.96,67
98,354.96,65
99,354.96,64
100,354.96,64
101,354.96,56
102,338.28,81
103,338.28,76
104,341.4,60
105,341.4,61
106,327.36,73
107,327.36,65
108,327.36,63
109,338.88,95
110,338.88,103
111,338.88,104
112,338.88,102
113,338.88,93
114,345.12,90
115,345.12,98
116,345.12,93
117,345.12,98
118,345.12,41
119,345.12,93
120,345.12,37
121,345.12,90
122,345.12,97
123,345.12,92
124,345.12,27
125,332.52,86
126,332.52,111
127,332.52,111
128,332.52,110
129,332.52,11
130,348.84,74
131,348.84,82
132,348.84,83
133,348.84,82
134,348.84,83
135,348.84,46
136,356.64,86
137,356.64,88
138,356.64,101
139,356.64,83
140,356.64,87
141,332.88,70
142,332.88,84
143,332.88,85
144,332.88,83
145,332.88,76
146,332.88,27
147,350.88,76
148,350.88,93
149,350.88,106
150,350.88,108
151,350.88,20
152,347.52,78
153,347.52,17
