1 2 3
Kadambathur Panchayat Union Contd.
23 Pudupet General(Women)
24 Thodukadu General(Women)
25 Satharai General
26 Keelnallathur General
27 Kilacheri General
28 Valasaivettikadu General
29 Mudugur General
30 Puduvallur General
31 Papparambakkam General
32 Thirumanikuppam General
33 Irulancheri General
34 Koovam General
35 Mappedu General
36 Vengathur General
37 Vellerithangal General
38 Kannur General
39 Voyalur General
40 Ramankoil General
41 Kavankolathur General
42 Kondancheri General
43 Koppur General
Poondi Panchayat Union
1 Thiruppair ST(Women)
2 Velamakandigai ST(General)
3 Kaivandur SC(Women)
4 Ramanathapuram SC(Women)
5 Nemiliagaram SC(Women)
6 Nambakkam SC(Women)
7 Goonipalayam SC(Women)
8 Somadevanpattu SC(Women)
9 Mamandur SC(General)
10 Allikuzhi SC(General)
11 Perittivakkam SC(General)
12 Katchur SC(General)
13 Ramanjeri SC(General)
14 Eraiyur SC(General)
15 Pondavakkam SC(General)
16 Vellalthukottai SC(General)
17 Sendrayanpalayam SC(General)
18 Attrambakkam SC(General)
19 Poondi SC(General)
20 Pennalurpettai General(Women)
21 Ellappanaidupettai General(Women)
22 Siruvanur General(Women)
23 Monnavedu General(Women)
24 Odappai General(Women)
25 Pandur General(Women)
26 Thimmaboobalapuram General(Women)
Page 11
