1 2 3
Jeyankondam Panchayat Union Contd.,
3 Pilichikuzhi SC(Women)
4 Devamangalam SC(Women)
5 Amanaganthondi SC(General)
6 Thaluthalaimedu SC(General)
7 Kattagaram SC(General)
8 Utkottai SC(General)
9 Periyavalaiyam SC(General)
10 Vanathiraiyanpattinam SC(General)
11 Pillaipalayam General(Women)
12 Vettiyarvettu General(Women)
13 Padanilai General(Women)
14 Edaiyar General(Women)
15 Kazhumangalam General(Women)
16 Ayyappanayakkenpettai General(Women)
17 Melanikuzhi General(Women)
18 Kallathur General(Women)
19 Kazhuvanthondi General(Women)
20 Guruvalapperkoil General
21 Saluppai General
22 Elayaperumalnallur General
23 Muthuservamadam General
24 Vangudi General
25 Thandalai General
26 Pappakudi General
27 Angarayanallur General
28 Gundaveli General
29 Gangaikondacholapuram General
30 T.Cholankuruchi General
31 J.Thathanur General
32 Thularankuruchi General
33 Eravangudi General
34 Pirancheri General
35 Katchiperumal General
