1 2 3
Kalasapakkam Panchayat Union Contd.,
11 Veeralur SC(General)
12 Mottur General(Women)
13 Vanniyanur General(Women)
14 Adamangalam General(Women)
15 Kettavarampalayam General(Women)
16 Thenmathimangalam General(Women)
17 Ladavaram General(Women)
18 Kidampalayam General(Women)
19 Melsholankuppam General(Women)
20 Poondi General(Women)
21 Siruvallur General(Women)
22 Kilpalur General(Women)
23 Melpalur General
24 Devarayanpalayam General
25 Melvilvarayanallur General
26 Gengalamahadevi General
27 Arunagirimangalam General
28 Kanthapalayam General
29 Palankoil General
30 Elathur General
31 Kilkuppam General
32 Kilpotharai General
33 Kalur General
34 Padagam General
35 Singaravady General
36 Kampattu General
37 Sholavaram General
38 Alangaramangalam General
39 Kalasapakkam General
40 Anaivady General
41 Koilmathimangalam General
42 Pathiyavady General
43 Pattiyandal General
44 Sengaputheri General
45 Seetambattu General
Chetpet Panchayat Union
1 Peranambakkam SC(Women)
2 Thumbur SC(Women)
3 Appedu SC(General)
4 Karikkathur SC(General)
5 Kothandavadi SC(General)
