1 2 3
Chetpet Panchayat Union Contd.,
6 Semmiyamangalam General(Women)
7 Eyakolathur General(Women)
8 Modaiyur General(Women)
9 Sanikkavadi General(Women)
10 Aliyalamangalam General(Women)
11 Ariyathur General(Women)
12 Arumbalur General(Women)
13 Chithathurai General(Women)
14 Edayankolathur General(Women)
15 Ogur General(Women)
16 Mattapirayur General(Women)
17 Nambedu General(Women)
18 Rajammapuram General(Women)
19 Randam General(Women)
20 Vilapakkam General(Women)
21 Alamppoondi General
22 Madavilagam General
23 Thathanur General
24 Vadamathimangalam General
25 Ettivadi General
26 Athurai General
27 Severappoondi General
28 Ulagampattu General
29 Pelasur General
30 Gudalore General
31 Gengasoodamani General
32 Vambalur General
33 Thachambadi General
34 Cheyyanandal General
35 Devimangalam General
36 Indiravanam General
37 Karappoondi General
38 Kilpattu General
39 Kolakkaravadi General
40 Koralpakkam General
41 Kolavoor General
42 Mandakolathur General
43 Mansurabad General
44 Maruthuvambadi General
45 Narasingapuram General
Page 44
