1 2 3
WestArni Panchayat Union Contd.,
10 Ariyalam General(Women)
11 Thathcharampattu General(Women)
12 Vinnamangalam General(Women)
13 Athimalaipattu General(Women)
14 Onnupuram General(Women)
15 Agaram General(Women)
16 Devikapuram General(Women)
17 Sambuvarayanallur General(Women)
18 Alagusenai General
19 Ayyampalayam General
20 Kamakkur General
21 Karippur General
22 Kilnagar General
23 Kolathur General
24 Kongarampattu General
25 Malayampattu General
26 Marusoor General
27 Maduraiperumattur General
28 Mullipattu General
29 Murugamangalam General
30 Nadukuppam General
31 Palayaekamparanallur General
32 Pudupalayam General
33 5-Puthur General
34 Ramasanikuppam General
35 Rantham General
36 Thellur General
37 Vannankulam General
