1 2 3
Madukkarai Panchayat Union
1 Nachipalayam SC(Women)
2 Valukkuparai SC(General)
3 Mavuthampathy General(Women)
4 Palathurai General(Women)
5 Arisipalayam General
6 Malumichampatti General
7 Myleripalayam General
8 Pichanur General
9 Seerapalayam General
Periyanaickenpalayam Panchayat Union
1 Naickenpalayam SC(General)
2 Asokapuram General(Women)
3 Bilichi General(Women)
4 24.Veerapandi General(Women)
5 Chinna Thadagam General
6 Kurudampalayam General
7 Nanjundapuram General
8 Pannimadai General
9 Somayampalayam General
Pollachi (North) Panchayat Union
1 Avalappampatti SC(Women)
2 Thippampatti SC(Women)
3 Zamin Muthur SC(Women)
4 Ayyampalayam SC(General)
5 Bodipalayam SC(General)
6 Chikkarayapuram SC(General)
7 R.Ponnapuram SC(General)
8 Vellalapalayam SC(General)
9 Devambadi General(Women)
10 Kittasoormapalayam General(Women)
11 Gollapatti General(Women)
12 Kabulipalayam General(Women)
13 Kullichettipalayam General(Women)
14 Okkilipalayam General(Women)
15 Poosaripatti General(Women)
16 Puravipalayam General(Women)
17 Ramapattinam General(Women)
18 Rasakapalayam General(Women)
19 Achipatti General
20 A.Nagoor General
21 Anupparpalayam General
22 Boligoundenpalayam General
23 Chinnanegamam General
24 Eripatti General
25 Kallipatti General
26 Kondegoundenpalayam General
27 Kullakkapalyam General
28 Kurumbapalayam General
29 Mannur General
30 Moolanur General
31 Nalluthukuli General
32 N.Chandrapuram General
33 Puliampatti General
34 Rasichettipalayam General
35 Santhegoundenpalayam General
36 Servakaranpalayam General
Page 72
