1 2 3
Vandavasi Panchayat Union
1 Kilsathamangalam ST(General)
2 Punnai SC(Women)
3 Ulundai SC(Women)
4 Mudur SC(Women)
5 Kilkovalaivedu SC(Women)
6 Manganallur SC(Women)
7 Salukkai SC(Women)
8 Kodanallur SC(General)
9 Venmandai SC(General)
10 Padhiri SC(General)
11 Salavedu SC(General)
12 Ariyathur SC(General)
13 Vengunam SC(General)
14 Ozhapakkam Kosapattu SC(General)
15 Melkodungalore SC(General)
16 Kallanguthu SC(General)
17 Thazhuthalai SC(General)
18 Kilseesamangalam SC(General)
19 Amudur SC(General)
20 Karanai General(Women)
21 Kilsembedu General(Women)
22 Nelliankulam General(Women)
23 Karam General(Women)
24 Arasur General(Women)
25 Kilnarma General(Women)
26 Kottai General(Women)
27 Badhur General(Women)
28 Osur General(Women)
29 Kilkodungalore General(Women)
30 Sennavaram General(Women)
31 Mangalam Mamandur General(Women)
32 Kavaniyathur General(Women)
33 Eramalur General(Women)
34 Veliambakkam General(Women)
35 Adiyanur-Adiyankuppam General
36 Birudur General
37 Ammanambakkam General
38 Ammayapattu General
39 Athipakkam General
40 Chetpet General
