1 2 3
Thellar Panchayat Union Contd.,
59 Periyakuppam General
60 Perungadaputhur General
61 Sogathur General
Peranamallur Panchayat Union
1 Melvillivalam ST(General)
2 Sozhavaram SC(Women)
3 Anaibogi SC(Women)
4 Melathangal SC(Women)
5 Kozhipuliyur SC(Women)
6 Veppambattu SC(General)
7 Alliyandal SC(General)
8 Madam SC(General)
9 Injimedu SC(General)
10 Marakkunam SC(General)
11 Thavani SC(General)
12 Gengapuram SC(General)
13 Melanur SC(General)
14 Anmarudai General(Women)
15 Morakaniyanur General(Women)
16 Nariyambadi General(Women)
17 Kalyanapuram General(Women)
18 Solaiarugavur General(Women)
19 Vinayagapuram General(Women)
20 Kottupakkam General(Women)
21 Namathodu General(Women)
22 Kozhappalur General(Women)
23 Aliyur General(Women)
24 Vallam General(Women)
25 Anadimangalam General(Women)
26 Mahadevimangalam General(Women)
27 Pernambakkam General(Women)
28 Jeganathapuram General(Women)
29 Arasampattu General
30 Ariyapadi General
31 Avaniyapuram General
32 Ayalavadi General
33 Chandrambadi General
34 Endal General
35 Erumbur General
36 Imapuram General
Page 50
