1 2 3
Tiruvallur Panchayat Union Contd.
14 Arumbakkam SC(General)
15 25.Veppampattu SC(General)
16 Nathamedu SC(General)
17 Thalakancheri General(Women)
18 Vadhattur General(Women)
19 Selai General(Women)
20 Melakondaiyar General(Women)
21 Ayalur General(Women)
22 Tirur General(Women)
23 Pullarambakkam General(Women)
24 Kilambakkam General(Women)
25 Thottikalai General
26 Koyambakkam General
27 Ikkadu General
28 Perathur General
29 Punnapakkam General
30 Perumalpattu General
31 Veeraraghavapuram General
32 Putlur General
33 Kakkalur General
34 Thozhur General
35 Karikkalavakkam General
36 Ayyathur General
37 Melanurr General
38 Sevvapet General
Kadambathur Panchayat Union
1 Thirupandiyur ST(General)
2 Vidaiyur SC(Women)
3 Kallambedu SC(Women)
4 Ulundai SC(Women)
5 Kumarachery SC(Women)
6 Pirayankuppam SC(Women)
7 Kadambathur SC(General)
8 Eraiyamangalam SC(General)
9 Perambakkam SC(General)
10 Pinjivakkam SC(General)
11 Pudumavilangai SC(General)
12 Kottaiyur SC(General)
13 Illuppur SC(General)
14 Narasingapuram SC(General)
15 Nungambakkam General(Women)
16 Senji General(Women)
17 Polivakkam General(Women)
18 Adhigathur General(Women)
19 Chitrambakkam General(Women)
20 Melnallathur General(Women)
21 Egattur General(Women)
22 Thandalam General(Women)
