1 2 3
MECHERI PANCHAYAT UNION Contd.,
3 Amaram General(Women)
4 Koppampatty General(Women)
5 M.Kalipatti General(Women)
6 Pottaneri General(Women)
7 Sathapadi General(Women)
8 Bukkampatti General
9 Aranganoor General
10 Banapuram General
11 Koonandiyur General
12 Kuttapatty General
13 Mallikundam General
14 Pallipatti General
15 Thethigiripatty General
16 Vellar General
17 Virudasampatty General
NANGAVALLI PANCHAYAT UNION
1 Veerakkal SC(General)
2 Periyasoragai General(Women)
3 Sanarapatti General(Women)
4 Soorappalli General(Women)
5 Avadathur General
6 Chinna Soragai General
7 Doramangalam General
8 Gonur General
9 Karikkapatti General
OMALUR PANCHAYAT UNION
1 Sakkarachettipatty SC(Women)
2 Sellapillaikuttai SC(Women)
3 Thumbipadi SC(Women)
4 Balpakki SC(General)
5 Ettikuttapatti SC(General)
6 Puliampatti SC(General)
7 Sangeethapatti SC(General)
8 U.Maramangalam SC(General)
9 Kamalapuram General(Women)
10 Kottagoundampatty General(Women)
11 Kottamettupatti General(Women)
12 M. Chettipatti General(Women)
13 Nallagoundampatty General(Women)
14 Naranampalayam General(Women)
15 Pagalpatti General(Women)
16 Thekkampatti General(Women)
17 Gollapatty General
18 Kottaimariammankoil General
19 Manguppai General
20 Mungilpadi General
21 Muthunaickanpatti General
22 Pachanampatti General
23 Periyeripatty General
24 Pottipuram General
25 Saminaickanpatti General
26 Semmankoodal General
