1 2 3
Anakkavur Panchayat Union
1 Purisai ST(General)
2 Erumaivetti SC(Women)
3 Paiyur SC(Women)
4 Vadalapiranthan SC(Women)
5 Alathur SC(Women)
6 Alathurai SC(Women)
7 Theniluppai SC(General)
8 Thethurai SC(General)
9 Kilathur SC(General)
10 Sengadu SC(General)
11 Thirumpoondi SC(General)
12 Irungal SC(General)
13 Perumbalai SC(General)
14 Nallalam SC(General)
15 Nedungal SC(General)
16 Anakkavoor SC(General)
17 Madipakkam General(Women)
18 Kunnavakkam General(Women)
19 Arasur General(Women)
20 Vadathinnalur General(Women)
21 Thavasi General(Women)
22 Veerambakkam General(Women)
23 Akkur General(Women)
24 Echur General(Women)
25 Soundaryapuram General(Women)
26 Thenkalpakkam General(Women)
27 Venkodu General(Women)
28 Nelvoy General(Women)
29 Kottagaram General(Women)
30 Ukkal General(Women)
31 Karanai General
32 Vellai General
33 Melnemili General
34 Cheyyatraivendran General
35 Kilkolathur General
36 Mahajanambakkam General
37 Kilnethapakkam General
38 Vachanur General
39 Ilaneerkundram General
Page 47
