1 2 3
Cheyyar Panchayat Union Contd.,
14 Vadugapattu SC(General)
15 Madhurai SC(General)
16 Vinnavadi General(Women)
17 Murukathanpoondi General(Women)
18 Korukkai General(Women)
19 Kaduganur General(Women)
20 Nedumbirai General(Women)
21 Thandarai General(Women)
22 Maligaipattu General(Women)
23 Vakkadai General(Women)
24 Vadapoondipattu General(Women)
25 Thalarapadi General(Women)
26 Munugapattu General(Women)
27 Mukkur General(Women)
28 Perumpallam General(Women)
29 Arathirivelur General
30 Arugavoor General
31 Arumparuthi General
32 Duli General
33 Enathavadi General
34 Kazhiyur General
35 Kilpazhandai General
36 Kilpudupakkam General
37 Korukkathur General
38 Melnagarambedu General
39 Naval General
40 Palanthangal General
41 Pappanthangal General
42 Parasur General
43 Pillanthi General
44 Puliyarampakkam General
45 Ramakrishnapuram General
46 Siruveliyanllur General
47 Sundivakkam General
48 Thenpoondipattu General
49 Thirumani General
50 Thozuppedu General
51 Vadangampattu General
52 Vadathandalam General
53 Vinnamangalam General
