1 2 3
Chengam Panchayat Union Contd.,
36 Puliyampatti General
37 Thalayuthu General
38 Elangunni General
39 Kannakurukkai General
40 Kuppanatham General
41 Neepathurai General
42 Pachal General
43 Pakkiripalayam General
44 Periakolabadi General
Pudupalayam Panchayat Union
1 Kottakulam SC(Women)
2 Melapunji SC(Women)
3 Pudurchengam SC(Women)
4 Korattampattu SC(Women)
5 Melmudiyanur SC(General)
6 Vasudevampattu SC(General)
7 Gulalpadi SC(General)
8 Melpadur SC(General)
9 Muthanur SC(General)
10 Nayambadi SC(General)
11 Voividanthangal SC(General)
12 Vadamathur General(Women)
13 Japthikariyandal General(Women)
14 C.Gengampattu General(Women)
15 Mashar General(Women)
16 Panaiolaipadi General(Women)
17 Periyeri General(Women)
18 Nagappadi General(Women)
19 Thorapadi General(Women)
20 Karapattu General(Women)
21 Aritharimangalam General
22 Narasinganallur General
23 Kilpadur General
24 Munnurmangalam General
25 Padiagharagaram General
26 Devanandal General
27 Kanji General
28 Oravandavadi General
29 Kallaraipadi General
30 Veeranandal General
Page 45
