source_page,side,line,raw_text
10,left,9,Villivakkam Panchayat Union
10,left,23,Puzhal Panchayat Union
10,left,31,Minjur Panchayat Union
10,left,50,Page 8
10,right,1,LUR DISTRICT
10,right,2,nchayat Presidents
10,right,3,d Tribes and Women in the Village Panchayat President in
10,right,4,l Nadu State.
10,right,5,Category to which
10,right,6,Sl. No Name of the Village Panchayat
10,right,7,reservation is made
10,right,8,1 2 3
10,right,9,Minjur Panchayat Union Contd.
11,left,1,1 2 3
11,left,2,Sholavaram Panchayat Union
11,left,42,Gummidipoondi Panchayat Union
11,left,51,Page 9
11,right,1,1 2 3
11,right,2,Gummidipoondi Panchayat Union Contd.
12,left,1,1 2 3
12,left,2,Gummidipoondi Panchayat Union Contd.
12,left,8,Poonamallee Panchayat Union
12,left,37,Tiruvallur Panchayat Union
12,left,51,Page 10
12,right,1,1 2 3
12,right,2,Tiruvallur Panchayat Union Contd.
12,right,28,Kadambathur Panchayat Union
13,left,1,1 2 3
13,left,2,Kadambathur Panchayat Union Contd.
13,left,24,Poondi Panchayat Union
13,left,51,Page 11
13,right,1,1 2 3
13,right,2,Poondi Panchayat Union Contd.
13,right,26,Ellapuram Panchayat Union
14,left,1,1 2 3
14,left,2,Ellapuram Panchayat Union Contd.
14,left,32,Tiruttani Panchayat Union
14,left,53,Page 12
14,right,1,1 2 3
14,right,2,"Tiruttani Panchayat Union Contd.,"
14,right,10,Thiruvalangadu Panchayat Union
15,left,1,1 2 3
15,left,2,Pallipet Panchayat Union
15,left,36,RamakrishnarajuPet Panchayat Union
15,left,53,Page 13
15,right,1,1 2 3
15,right,2,Ramakrishnaraju Pet Panchayat Union Contd.
16,left,1,CUDDALO
16,left,2,Village Panc
16,left,3,Reservation of Seats for Scheduled Caste/Scheduled
16,left,4,Tamil
16,left,5,Category to which
16,left,6,Sl. No Name of the Village Panchayat
16,left,7,reservation is made
16,left,8,1 2 3
16,left,9,CUDDALORE PANCHAYAT UNION
16,left,51,Page 14
16,right,1,ORE DISTRICT
16,right,2,chayat Presidents
16,right,3,d Tribes and Women in the Village Panchayat President in
16,right,4,Nadu State.
16,right,5,Category to which
16,right,6,Sl. No Name of the Village Panchayat
16,right,7,reservation is made
16,right,8,1 2 3
16,right,9,CUDDALORE PANCHAYAT UNION Contd.
16,right,20,ANNAGRAMAM PANCHAYAT UNION
17,left,1,1 2 3
17,left,2,ANNAGRAMAM PANCHAYAT UNION Contd
17,left,15,PANRUTI PANCHAYAT UNION
17,left,51,Page 15
17,right,1,1 2 3
17,right,2,PANRUTI PANCHAYAT UNION Contd
17,right,10,KURINJIPADI PANCHAYAT UNION
18,left,1,1 2 3
18,left,2,KURINJIPADI PANCHAYAT UNION Contd
18,left,14,KATTUMANNARKOIL PANCHAYAT UNION
18,left,51,Page 16
18,right,1,1 2 3
18,right,2,KATTUMANNARKOIL PANCHAYAT UNION Contd
18,right,22,KUMARATCHI PANCHAYAT UNION
19,left,1,1 2 3
19,left,2,KUMARATCHI PANCHAYAT UNION Contd
19,left,32,KEERAPALAYAM PANCHAYAT UNION
19,left,51,Page 17
19,right,1,1 2 3
19,right,2,KEERAPALAYAM PANCHAYAT UNION Contd
19,right,48,MELBHUVANAGIRI PANCHAYAT UNION
20,left,1,1 2 3
20,left,2,MELBHUVANAGIRI PANCHAYAT UNION Contd
20,left,48,PARANGIPETTAI PANCHAYAT UNION
20,left,51,Page 18
20,right,1,1 2 3
20,right,2,PARANGIPETTAI PANCHAYAT UNION Contd
20,right,42,VIRUDHACHALAM PANCHAYAT UNION
21,left,1,1 2 3
21,left,2,VIRUDHACHALAM PANCHAYAT UNION Contd
21,left,46,KAMMAPURAM PANCHAYAT UNION
21,left,51,Page 19
