1 2 3
Vandavasi Panachayat Union Contd.,
41 Elangadu General
42 Irumbedu General
43 Kadaisikulam General
44 Kilpakkam General
45 Koilkuppam-Sathanoor General
46 Kovalai General
47 Kurippedu General
48 Mambattu General
49 Marudadu General
50 Mummuni General
51 Pulivoy General
52 S.Navalpakkam General
53 Sedarakuppam General
54 Sembur General
55 Thellur General
56 Thennangur General
57 Thensenthamangalam General
58 Vengaram-Avanavadi General
59 Vazhur-Agaram General
60 Villangadu General
61 Vizhudupattu General
Thellar Panchayat Union
1 Magamaithirumani ST(General)
2 Theyyar SC(Women)
3 Kilputhur SC(Women)
4 Achamangalam SC(Women)
5 Thellar SC(Women)
6 S.Katteri SC(Women)
7 Thenthinnalur SC(Women)
8 Japthikarani SC(General)
9 Kadambai SC(General)
10 Ramasamudram SC(General)
11 Malaiyur SC(General)
12 Thenvanakkambadi SC(General)
13 Mazhavankarani SC(General)
14 Ponnur SC(General)
15 Thennathur SC(General)
16 Korakottai SC(General)
17 Pennattagaram SC(General)
18 Thenkarai SC(General)
Page 49
