1 2 3
Vembakkam Panchayat Union Contd.,
24 Dusi General(Women)
25 Hariharapakkam General(Women)
26 Kuthanur General(Women)
27 Poonaithangal General(Women)
28 Sirunavalpattu General(Women)
29 Sumangali General(Women)
30 Vadailuppai General(Women)
31 Karanthai General(Women)
32 Vayalathur General(Women)
33 Thenkalani General(Women)
34 Irumaram General
35 Pavoor General
36 Randam General
37 Arasankuppam General
38 Moonjurpattu General
39 Pulivalam General
40 Kaganam General
41 Vadakalpakkam General
42 Kundiyanthandalam General
43 Kodaiyambakkam General
44 Siruvanjipattu General
45 Pullavakkam General
46 Suruttal General
47 Thennampattu General
48 Azhividaithangi General
49 Kizhnelli General
50 Azhinjalpattu General
51 Pillanthangal General
52 Vadamanapakkam General
53 Natteri General
54 Mamandur General
55 Abdullapuram General
56 Arasanipalai General
57 Chithathur General
58 Hasanampettai General
59 Mathur General
60 Namandi General
61 Narasamangalam General
62 Pallavaram General
63 Umaiyalpuram General
64 Vembakkam General
Page 48
