1 2 3
KURINJIPADI PANCHAYAT UNION Contd
41 T.Palaiyam General
42 Vazhuthalampattu General
43 Andarmullipallam General
44 Maruvai General
45 Vadakuthu General
46 Koranapattu General
47 Keezhur General
48 Poovanikuppam General
49 Vandiyampallam General
50 Indranagar General
51 Perumathur General
KATTUMANNARKOIL PANCHAYAT UNION
1 SriAdhivaraganallur SC(Women)
2 Alangathan SC(Women)
3 Kokkarasanpettai SC(Women)
4 Muttam SC(Women)
5 Rayanallur SC(Women)
6 Ma. Uthamasolagan SC(Women)
7 Veeranandapuram SC(Women)
8 Essanur SC(Women)
9 Maniamadoor SC(General)
10 Agaraputhur SC(General)
11 Aranthangi SC(General)
12 T. Arulmozhidevan SC(General)
13 Ayangudi SC(General)
14 Kallipadi SC(General)
15 Gunavasal SC(General)
16 Madhakalirmanickam SC(General)
17 Mamangalam SC(General)
18 Nagarapadi SC(General)
19 Shandan SC(General)
20 Sithamalli SC(General)
21 Thethampattu SC(General)
22 Achalpuram SC(General)
23 Ma.Adhanur General(Women)
24 Keelpuliyampattu General(Women)
25 Kondasamuthiram General(Women)
26 Nattarmangalam General(Women)
27 Reddiyur General(Women)
28 Veerananallur General(Women)
29 Karunakaranallur General(Women)
30 K. Poovilandanallur General(Women)
31 Movur General(Women)
32 Nathamalai General(Women)
33 Palanjanallur General(Women)
34 Eachampoondi General
35 Kalnattampuliyur General
36 Keelakadambur General
Page 16
