1 2 3
Thalavadi Panchayat Union
1 Hassanur ST(General)
2 Byyanapuram SC(Women)
3 Mallanguli SC(General)
4 Germalam General (Women)
5 Talamalai General (Women)
6 Neithalapuram General (Women)
7 Iggalore General
8 Talavadi General
9 Thiginari General
10 Thingalore General
Bhavani Panchayat Union
1 Sanniyasipatty SC(Women)
2 Andikulam SC(General)
3 Chinnapuliyur General(Women)
4 Kavandapadi General(Women)
5 Thottipalayam General(Women)
6 Kurupanaickenpalayam General(Women)
7 Alathur General
8 Mylambadi General
9 Odathurai General
10 Oricheri General
11 Paruvachi General
12 Periyapuliyur General
13 Punnam General
14 Varadhanallur General
15 Vairamangalam General
Anthiyur Panchayat Union
1 Kuppandampalayam SC(Women)
2 Kilvani SC(General)
3 Brammadesam General (Women)
4 Burgur General(Women)
5 Gettisamudram General(Women)
6 Sankarapalayam General(Women)
7 Chinnathambipalayam General
8 Ennamangalam General
9 Kuthampoondi General
10 Michelpalayam General
11 Moongilpatti General
12 Nagalur General
13 Pachampalayam General
14 Vempathi General
Ammapettai Panchayat Union
1 Boothapadi SC(Women)
2 Kalpavi SC(Women)
3 Attavanaipudur SC(General)
4 Vellithiruppur SC(General)
5 Guruvareddiyur General(Women)
6 Mathur General(Women)
7 Oddapalayam General(Women)
8 Padavalkalvai General(Women)
9 Patlur General(Women)
10 Komarayanur General
11 Chennampatti General
12 Kadappanallur General
13 Kannapalli General
14 Kesarimangalam General
15 Kurichi General
16 Manickampalayam General
17 Mukasipudur General
18 Poonachi General
19 Pudur General
20 Singampettai General
