1 2 3
Tiruttani Panchayat Union Contd.,
21 Cherukkanur General
22 Karthikeyapuram General
23 Alamelumangapuram General
24 Periyakadambur General
25 Kanchiguruvarajakandigai General
26 Sathranjayapuram General
27 Veerakaverirajapuram General
Thiruvalangadu Panchayat Union
1 Illuppur ST(General)
2 Jagirmangalam SC(Women)
3 Chinnammapet SC(Women)
4 Muthukondapuram SC(Women)
5 Naballure SC(Women)
6 Thozhudavur SC(Women)
7 Athipattu SC(General)
8 Koormavilasapuram SC(General)
9 Thalavedu SC(General)
10 Chinnamandali SC(General)
11 N.N.Kandigai SC(General)
12 Gulur SC(General)
13 Arungulam SC(General)
14 Ramapuram SC(General)
15 Harichandrapuram General(Women)
16 Poonimangadu General(Women)
17 Kuppamkandigai General(Women)
18 Kaverirajapuram General(Women)
19 Venugopalapuram General(Women)
20 Vyasapuram General(Women)
21 Ponpadi General(Women)
22 Chivvada General(Women)
23 Thiruvalangadu General(Women)
24 Manavur General
25 Arumbakkam General
26 Arcotkuppam General
27 Veeraraghavapuram General
28 Nemili General
29 Nallattur General
30 Narthavada General
31 Kalambakkam General
32 Orathur General
33 Panapakkam General
34 Mamandur General
35 Pagasalai General
36 Periyakalakkattur General
37 Lakshmapuram General
38 Kanakammachatram General
39 Nedumbaram General
40 Palayanur General
41 Lakshmivilasapuram General
42 Kanchipadi General
