1 2 3
Gummidipoondi Panchayat Union Contd.
57 Sanaputhur General
58 Sidharajakandigai General
59 Sirupuzhalpettai General
60 Siruvada General
61 Thervazhi General
Poonamallee Panchayat Union
1 Korattur SC(Women)
2 Varadharajapuram SC(Women)
3 Soranjeri SC(Women)
4 Paarivakkam SC(Women)
5 Kavalcheri SC(General)
6 Nemam SC(General)
7 Padur SC(General)
8 Sembarambakkam SC(General)
9 Vellavedu SC(General)
10 Nemilicheri SC(General)
11 Kolappancheri General(Women)
12 Kosavanpalayam General(Women)
13 Chithukadu General(Women)
14 Voyalanallur General(Women)
15 Kuthambakkam General(Women)
16 Banavedu Thottam General(Women)
17 Agaramel General
18 Annambedu General
19 Gudapakkam General
20 Kannapalayam General
21 Karunagaracheri General
22 Kattupakkam General
23 Thirumanam General
24 Melmanambedu General
25 Meppur General
26 Nadukuthagai General
27 Nazarethpettai General
28 Senneerkuppam General
Tiruvallur Panchayat Union
1 Aranvoyal ST(General)
2 Ikkadukandigai SC(Women)
3 Puliyur SC(Women)
4 26.Veppampattu SC(Women)
5 Pakkam SC(Women)
6 Sivanvoyal SC(Women)
7 Velliyur SC(General)
8 Kalyanakuppam SC(General)
9 Odhikkadu SC(General)
10 Vishnuvakkam SC(General)
11 Kizhanur SC(General)
12 Thanneerkulam SC(General)
13 Vilapakkam SC(General)
Page 10
