1 2 3
Peranamallur Panchayat Union Contd.,
37 Isakolathur General
38 Konaiyur General
39 Konamangalam General
40 Melapoondi General
41 Melnandiyambadi General
42 Melsathamangalam General
43 Mosavadi General
44 Nalladisenai General
45 Nambedu General
46 Narayanamangalam General
47 Nedungunam General
48 Poongunam General
49 Ragunadasamudram General
50 Reddikuppam General
51 Semmambadi General
52 Septankulam General
53 Sudarakatteri General
54 Thadinolambai General
55 Vayaloor General
56 Villanallur General
57 Visamangalam General
Arni Panchayat Union
1 Paiyur SC(Women)
2 Mamandur SC(Women)
3 Ladavaram SC(Women)
4 Ladapadi SC(General)
5 Nesal SC(General)
6 Kalpoondi SC(General)
7 Sirumur SC(General)
8 Irumbedu SC(General)
9 Agrapalayam General(Women)
10 Chitteri General(Women)
11 Vilai General(Women)
12 Kangiluppai General(Women)
13 Morappanthangal General(Women)
14 Nethapakkam General(Women)
15 Vadugasathu General(Women)
16 Velappadi General(Women)
17 Adayapulam General(Women)
18 Rattinamangalam General(Women)
