source_page,side,line,raw_text,serial,name,category
3,left,10,1 Valathottam ST (General),1,Valathottam,ST (General)
3,left,11,2 Thimmasamudiram SC (Women),2,Thimmasamudiram,SC (Women)
3,left,12,3 Thammanur SC (Women),3,Thammanur,SC (Women)
3,left,13,4 Musaravakkam SC (Women),4,Musaravakkam,SC (Women)
3,left,14,5 Vishar SC (Women),5,Vishar,SC (Women)
3,left,15,6 Muthavedu SC (General),6,Muthavedu,SC (General)
3,left,16,7 Kilambi SC (General),7,Kilambi,SC (General)
3,left,17,8 Elayanarvelur SC (General),8,Elayanarvelur,SC (General)
3,left,18,9 Sirunaiperugal SC (General),9,Sirunaiperugal,SC (General)
3,left,19,10 Kavanthandalam SC (General),10,Kavanthandalam,SC (General)
3,left,20,11 Ariaperumbakkam SC (General),11,Ariaperumbakkam,SC (General)
3,left,21,12 Thirupukuzhi SC (General),12,Thirupukuzhi,SC (General)
3,left,22,13 Kolivakkam SC (General),13,Kolivakkam,SC (General)
3,left,23,14 Ayyangarkulam General (Women),14,Ayyangarkulam,General (Women)
3,left,24,15 Kalakkattur General (Women),15,Kalakkattur,General (Women)
3,left,25,16 Perumbakkam General (Women),16,Perumbakkam,General (Women)
3,left,26,17 Sirukaveripakkam General (Women),17,Sirukaveripakkam,General (Women)
3,left,27,18 Muttavakkam General (Women),18,Muttavakkam,General (Women)
3,left,28,19 Magaral General (Women),19,Magaral,General (Women)
3,left,29,20 Narapakkam General (Women),20,Narapakkam,General (Women)
3,left,30,21 Putheri General (Women),21,Putheri,General (Women)
3,left,31,22 Karuppadithattadai General (Women),22,Karuppadithattadai,General (Women)
3,left,32,23 Asoor General (Women),23,Asoor,General (Women)
3,left,33,24 Arpakkam General,24,Arpakkam,General
3,left,34,25 Vippedu General,25,Vippedu,General
3,left,35,26 Konerikuppam General,26,Konerikuppam,General
3,left,36,27 Kilar General,27,Kilar,General
3,left,37,28 Angambakkam General,28,Angambakkam,General
3,left,38,29 Melottivakkam General,29,Melottivakkam,General
3,left,39,30 Keelkadirpur General,30,Keelkadirpur,General
3,left,40,31 Thiruparuthikundram General,31,Thiruparuthikundram,General
3,left,41,32 Kambarajapuram General,32,Kambarajapuram,General
3,left,42,33 Damal General,33,Damal,General
3,left,43,34 Kooram General,34,Kooram,General
3,left,44,35 Ozhakolpattu General,35,Ozhakolpattu,General
3,left,45,36 Kilperamanallur General,36,Kilperamanallur,General
3,left,46,37 Avalur General,37,Avalur,General
3,left,47,38 Punjarasanthangal General,38,Punjarasanthangal,General
3,left,48,39 Melkadirpur General,39,Melkadirpur,General
3,left,49,40 Kalur General,40,Kalur,General
3,right,10,1 Thiruvankaranai ST (General),1,Thiruvankaranai,ST (General)
3,right,11,2 Govindavadi SC(Women),2,Govindavadi,SC(Women)
3,right,12,3 Nathanallur SC(Women),3,Nathanallur,SC(Women)
3,right,13,4 Illuppapattu SC(Women),4,Illuppapattu,SC(Women)
3,right,14,5 Enathur SC(Women),5,Enathur,SC(Women)
3,right,15,6 Devariambakkam SC(Women),6,Devariambakkam,SC(Women)
3,right,16,7 Vedal SC(Women),7,Vedal,SC(Women)
3,right,17,8 Pazhayaseevaram SC(Women),8,Pazhayaseevaram,SC(Women)
3,right,18,9 Injambakkam SC(General),9,Injambakkam,SC(General)
3,right,19,10 139-Thandalam SC(General),10,139-Thandalam,SC(General)
3,right,20,11 Kalianur SC(General),11,Kalianur,SC(General)
3,right,21,12 Uthukkadu SC(General),12,Uthukkadu,SC(General)
3,right,22,13 Ullavur SC(General),13,Ullavur,SC(General)
3,right,23,14 Vaiyavur SC(General),14,Vaiyavur,SC(General)
3,right,24,15 Thodur SC(General),15,Thodur,SC(General)
3,right,25,16 Karur SC(General),16,Karur,SC(General)
3,right,26,17 Puduppakkam SC(General),17,Puduppakkam,SC(General)
3,right,27,18 Thangi SC(General),18,Thangi,SC(General)
3,right,28,19 Padunelli SC(General),19,Padunelli,SC(General)
3,right,29,20 Valathur SC(General),20,Valathur,SC(General)
3,right,30,21 Pullalur SC(General),21,Pullalur,SC(General)
3,right,31,22 Thimmaianpettai General (Women),22,Thimmaianpettai,General (Women)
3,right,32,23 Ozhaiyur General (Women),23,Ozhaiyur,General (Women)
3,right,33,24 Eganampettai General (Women),24,Eganampettai,General (Women)
3,right,34,25 Paranthur General (Women),25,Paranthur,General (Women)
3,right,35,26 Muthialpettai General (Women),26,Muthialpettai,General (Women)
3,right,36,27 Villivalam General (Women),27,Villivalam,General (Women)
3,right,37,28 Purisai General (Women),28,Purisai,General (Women)
3,right,38,29 Alappakkam General (Women),29,Alappakkam,General (Women)
3,right,39,30 Ayimichery General (Women),30,Ayimichery,General (Women)
3,right,40,31 Agaram General (Women),31,Agaram,General (Women)
3,right,41,32 Kizhottivakkam General (Women),32,Kizhottivakkam,General (Women)
3,right,42,33 Poosivakkam General (Women),33,Poosivakkam,General (Women)
3,right,43,34 Singadivakkam General (Women),34,Singadivakkam,General (Women)
3,right,44,35 Naikkenkuppam General (Women),35,Naikkenkuppam,General (Women)
3,right,45,36 Ariambakkam General,36,Ariambakkam,General
3,right,46,37 Siruvakkam General,37,Siruvakkam,General
3,right,47,38 Naikkenpettai General,38,Naikkenpettai,General
3,right,48,39 Ayyanpettai General,39,Ayyanpettai,General
3,right,49,40 Kithiripettai General,40,Kithiripettai,General
3,right,50,41 Thimmarajampettai General,41,Thimmarajampettai,General
3,right,51,42 Kottavakkam General,42,Kottavakkam,General
3,right,52,43 Koothirambakkam General,43,Koothirambakkam,General
4,left,3,44 Karai General,44,Karai,General
4,left,4,45 Veliyur General,45,Veliyur,General
4,left,5,46 Marutham General,46,Marutham,General
4,left,6,47 Puliambakkam General,47,Puliambakkam,General
4,left,7,48 Puthagaram General,48,Puthagaram,General
4,left,8,49 Thollazhi General,49,Thollazhi,General
4,left,9,50 Kunnavakkam General,50,Kunnavakkam,General
4,left,10,51 Uvery General,51,Uvery,General
4,left,11,52 Siruvallur General,52,Siruvallur,General
4,left,12,53 Venbakkam General,53,Venbakkam,General
4,left,13,54 Kattavakkam General,54,Kattavakkam,General
4,left,14,55 Thenneri General,55,Thenneri,General
4,left,15,56 Sinnivakkam General,56,Sinnivakkam,General
4,left,16,57 Athivakkam General,57,Athivakkam,General
4,left,17,58 144-Thandalam General,58,144-Thandalam,General
4,left,18,59 Melpodavur General,59,Melpodavur,General
4,left,19,60 Attuputhur General,60,Attuputhur,General
4,left,20,61 Varanavasi General,61,Varanavasi,General
4,left,22,1 Sirudamur SC (Women),1,Sirudamur,SC (Women)
4,left,23,2 Salavakkam SC (Women),2,Salavakkam,SC (Women)
4,left,24,3 Ravathanallur SC (Women),3,Ravathanallur,SC (Women)
4,left,25,4 Porpandal SC (Women),4,Porpandal,SC (Women)
4,left,26,5 Pinayur SC (Women),5,Pinayur,SC (Women)
4,left,27,6 Maruthavambadi SC (Women),6,Maruthavambadi,SC (Women)
4,left,28,7 Kattankulam SC (Women),7,Kattankulam,SC (Women)
4,left,29,8 Edamachi SC (Women),8,Edamachi,SC (Women)
4,left,30,9 Arasanimangalam SC (Women),9,Arasanimangalam,SC (Women)
4,left,31,10 Perunagar SC (General),10,Perunagar,SC (General)
4,left,32,11 Ozhugarai SC (General),11,Ozhugarai,SC (General)
4,left,33,12 Kurumanjeri SC (General),12,Kurumanjeri,SC (General)
4,left,34,13 Kavanurpuducheri SC (General),13,Kavanurpuducheri,SC (General)
4,left,35,14 Kammalampoondi SC (General),14,Kammalampoondi,SC (General)
4,left,36,15 Kaliyapettai SC (General),15,Kaliyapettai,SC (General)
4,left,37,16 Kaliyampoondi SC (General),16,Kaliyampoondi,SC (General)
4,left,38,17 Edayambudur SC (General),17,Edayambudur,SC (General)
4,left,39,18 Anambakkam SC (General),18,Anambakkam,SC (General)
4,left,40,19 Arumbuliyur SC (General),19,Arumbuliyur,SC (General)
4,left,41,20 Kunnavakkam SC (General),20,Kunnavakkam,SC (General)
4,left,42,21 Kilakkadi SC (General),21,Kilakkadi,SC (General)
4,left,43,22 Advapakkam SC (General),22,Advapakkam,SC (General)
4,left,44,23 Thandarai SC (General),23,Thandarai,SC (General)
4,left,45,24 Sirumailur SC (General),24,Sirumailur,SC (General)
4,left,46,25 Ozhaiyur SC (General),25,Ozhaiyur,SC (General)
4,left,47,26 Agaramduli SC (General),26,Agaramduli,SC (General)
4,left,48,27 Malyamkulam General (Women),27,Malyamkulam,General (Women)
4,left,49,28 Thirupulivanam General (Women),28,Thirupulivanam,General (Women)
4,right,3,29 Perungozhi General (Women),29,Perungozhi,General (Women)
4,right,4,30 Oddanthangal General (Women),30,Oddanthangal,General (Women)
4,right,5,31 Karanai General (Women),31,Karanai,General (Women)
4,right,6,32 Elanagar General (Women),32,Elanagar,General (Women)
4,right,7,33 Annadhur General (Women),33,Annadhur,General (Women)
4,right,8,34 Najneepuram General (Women),34,Najneepuram,General (Women)
