1 2 3
Polur Panchayat Union Contd.,
11 Kalasamuthiram General(Women)
12 Kuruvimalai General(Women)
13 Narayanamangalam General(Women)
14 Padavedu General(Women)
15 Periyagaram General(Women)
16 Renderipattu General(Women)
17 Santhavasal General(Women)
18 Sedarampattu General(Women)
19 Tirusoor General(Women)
20 Ananthapuram General
21 Edapirai General
22 Ezhuvambadi General
23 Erikuppam General
24 Kalkuppam General
25 Kalpattu General
26 Kalvasal General
27 Kangeyanoor General
28 Kasthampadi General
29 Kelur General
30 Krishnapuram General
31 Kuppam General
32 Mambattu General
33 Murugapadi General
34 Palavarthuvendran General
35 Pudupalayam General
36 Sengunam General
37 Thurnjikuppam General
38 Vazhiyur General
39 Vasur General
40 Vellur General
Kalasapakkam Panchayat Union
1 Kadalady SC(Women)
2 Gengavaram SC(Women)
3 Aniyalai SC(Women)
4 Melarani SC(Women)
5 Pillur SC(General)
6 Ernamangalam SC(General)
7 Mattavettu SC(General)
8 Kappalur SC(General)
9 Venkatampalayam SC(General)
10 Thenpallipattu SC(General)
Page 43
