1 2 3
Pallipet Panchayat Union
1 Melapudi ST(Women)
2 Konasamudram SC(Women)
3 Veliagaram SC(Women)
4 Surarajapattadai SC(Women)
5 Athimanjeri SC(General)
6 Krishnamarajakuppam SC(General)
7 Ramasamudram SC(General)
8 Samandavada SC(General)
9 Gollalakuppam SC(General)
10 Pandaravedu General(Women)
11 Nedugal General(Women)
12 Nediyam General(Women)
13 Punniyam General(Women)
14 Ramachandrapuram General(Women)
15 Srikaverilingarajapet General(Women)
16 Perumanallur General(Women)
17 Kolathur General
18 Jangalapalli General
19 Kakkalur General
20 Karimbedu General
21 Karlambakkam General
22 Pettaikandigai General
23 Kesavarajakuppam General
24 Kodivalasa General
25 Kothakuppam General
26 Kumararajupettai General
27 Keelapudi General
28 Nochili General
29 Keechalam General
30 Thirumalrajupet General
31 Vadakuppam General
32 Venkatarajakuppam General
33 Ramapuram General
RamakrishnarajuPet Panchayat Union
1 Janagarajakuppam SC(Women)
2 Balapuram SC(Women)
3 Damaneri SC(Women)
4 Raghavanaidukuppam SC(General)
5 Adivaragapuram SC(General)
6 Mylarwada SC(General)
7 Periyanagapoondi SC(General)
8 Chanurmallavaram SC(General)
9 G.C.S.Kandigai General(Women)
10 Chinnanagapoondi General(Women)
11 Chandravilasapuram General(Women)
12 Vellathur General(Women)
13 Gopalapuram General(Women)
14 Ramakrishnarajupet
15 Ammaneri General(Women)
16 Santhanavenugopalapuram General(Women)
Page 13
