LUR DISTRICT
nchayat Presidents
d Tribes and Women in the Village Panchayat President in
l Nadu State.
Category to which
Sl. No Name of the Village Panchayat
reservation is made
1 2 3
Minjur Panchayat Union Contd.
19 Pralayambakkam SC(General)
20 Thangal Perumbulam SC(General)
21 Arasur SC(General)
22 Velur General(Women)
23 Kattupalli General(Women)
24 Medhur General(Women)
25 Poongulam General(Women)
26 Voyalur General(Women)
27 Kottaikuppam General(Women)
28 Thadaperumbakkam General(Women)
29 Kaniyambakkam General(Women)
30 Neithavoyal General(Women)
31 Subbareddypalayam General(Women)
32 Kattavoor General(Women)
33 Kallur General(Women)
34 Kondakarai General
35 Avoor General
36 A.Reddypalayam General
37 Eliambedu General
38 Kattur General
39 Kadapakkam General
40 Periyakarambur General
41 Vallur General
42 Melur General
43 Nandiyambakkam General
44 Vellivoyalchavadi General
45 Athippattu General
46 Kodur General
47 Anuppambattu General
48 Kalpakkam General
49 Seliambedu General
50 Perumbedu General
51 Lighthousekuppam General
52 Sirulapakkam General
53 Devadhanam General
54 Nallur General
55 Merattoor General
