1 2 3
KATTUMANNARKOIL PANCHAYAT UNION Contd
37 Kunamangalam General
38 Melakadambur General
39 Melpuliyangudi General
40 Alingimangalam General
41 Chettithangal General
42 Kandamangalam General
43 Kandiyankuppam General
44 Kanjankollai General
45 Kollumedu General
46 Kozhi General
47 Kunjamedu General
48 Kurungudi General
49 Melradhambur General
50 Sirukattur General
51 Srineduncheri General
52 Sriputhur General
53 Thorappu General
54 Thiruchinnapuram General
55 Vanamadevi General
KUMARATCHI PANCHAYAT UNION
1 Vennaiyur SC(Women)
2 Thavarthampattu SC(Women)
3 Kumaratchi SC(Women)
4 Elanangur SC(Women)
5 Karuppur SC(Women)
6 Nalanputhur SC(Women)
7 C.Thandeswaranallur SC(Women)
8 Perampattu SC(Women)
9 Nanjalur SC(General)
10 Poolamedu SC(General)
11 Chidambaram –Non-Municipal SC(General)
12 Sivayam SC(General)
13 Ma.Arasur SC(General)
14 Koothankoil SC(General)
15 Kadavachery SC(General)
16 Ma.Puliyangudi SC(General)
17 Sarvarajanpettai SC(General)
18 Matharsudamani SC(General)
19 Agaranallur SC(General)
20 Melaparuthikudi SC(General)
21 Saliyanthoppu SC(General)
22 Vaiyur SC(General)
23 T.Puthur SC(General)
24 Elleri General(Women)
25 Siragilanthanallur General(Women)
26 Keelathankudi General(Women)
27 C.Arasur General(Women)
28 Chettikattalai General(Women)
