1 2 3
Thurinjapuram Panchayat Union Contd.,
13 Karunthuvambadi General(Women)
14 Maruthuvambadi General(Women)
15 Vadakarimbalur General(Women)
16 Durgainammiyandal General(Women)
17 Mathalampadi General(Women)
18 Mutharasampoondi General(Women)
19 Randam General(Women)
20 Erumpoondi General(Women)
21 Kiliapattu General(Women)
22 Porkunam General(Women)
23 Sadayanodai General(Women)
24 Mangalam General
25 Kamalaputhur General
26 Thurinjapuram General
27 Usampadi General
28 Mallavadi General
29 Devanampattu General
30 Kariyandal General
31 Kovur General
32 Karkonam General
33 Uthirampoondi General
34 Vedandavadi General
35 Vadakaringalipadi General
36 Palanandal General
37 Vadapulidiyur General
38 Kunniyandal General
39 Nookkambadi General
40 Boodamangalam General
41 Kalasthambadi General
42 Karumarapatti General
43 Periyakilambadi General
44 Sananandal General
45 Silappandal General
46 Sorakolathur General
47 Veluganandal General
Polur Panchayat Union
1 Thindivanam ST(General)
2 Venmani SC(Women)
3 Vilankuppam SC(Women)
4 Mukurumbai SC(Women)
5 Illupakunam SC(General)
6 Kattipoondi SC(General)
7 Kunnathur SC(General)
8 Potharai SC(General)
9 Athuvambadi General(Women)
10 Enduvambadi General(Women)
