1 2 3
Anakkavur Panchayat Union Contd.,
40 Thenthandalam General
41 Kovilur General
42 Kilneerkundram General
43 Melma General
44 Melkolathur General
45 Thenmavandal General
46 Mulagiripattu General
47 Anapathur General
48 Athi General
49 Chithamoor General
50 Koolamandal General
51 Kulamandai General
52 Kurumbur General
53 Narmapallam General
54 Palanjur General
55 Thenelapakkam General
Vembakkam Panchayat Union
1 Ukkamperumpakkam ST(General)
2 Nemili SC(Women)
3 Vellakulam SC(Women)
4 Perungattur SC(Women)
5 Thiruppanamur SC(Women)
6 Perunmanthangal SC(Women)
7 Punnai SC(Women)
8 Sattuvanthangal SC(General)
9 Cheyyanur SC(General)
10 Panamugai SC(General)
11 Vengalathur SC(General)
12 Ezhacheri SC(General)
13 Menallur SC(General)
14 Moranam SC(General)
15 Sothiyampakkam SC(General)
16 Pudupalayam SC(General)
17 Sozhavaram SC(General)
18 Kizhnaickenpalayam General(Women)
19 Sirunallur General(Women)
20 Maangal General(Women)
21 Thiruppanangadu General(Women)
22 Ariyur General(Women)
23 Brammadesam General(Women)
