file,url,sha256,bytes,kind,role
raw/a39c7dbf9df2cc56.html,http://web.archive.org/web/20090410103457id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=24&blnm=MANTESWAR,bd2cdea3bfb6a416594b4ef70539aa6438450041ac48dbc0c07fd576733596a3,6103,election_results,tabled_no_reservation
raw/f9c62da873ee526e.html,http://web.archive.org/web/20090410101548id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=21&blnm=MEMARI-I,a766a11ce51491b76a0012fcb85fca6a98c1121fbec3daa79afcb5f1e619d49f,5213,election_results,tabled_no_reservation
raw/fc5d5b609ee50736.html,http://web.archive.org/web/20090410102841id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=22&blnm=MEMARI-II,72c49a0965e42ef0d3edad9ef318887be32e5fd7c9d89391778b52123c1de84b,4914,election_results,tabled_no_reservation
raw/4dae7ae1f95e0c5b.html,http://web.archive.org/web/20090410103929id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=23&blnm=MONGALKOTE,00756c8710b59513d057955e0e9c42aa2924dd79b2b42ad0085d923c4a5c1c36,6706,election_results,tabled_no_reservation
raw/00b2daaaada5b954.html,http://web.archive.org/web/20090410172128id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=24&blnm=MONTESWAR,4fa5e3fbce024a22799cfced741593319e34d0eac07dfb80ecb9809be869984a,6103,election_results,tabled_no_reservation
raw/5cfcbad9b92afdbc.html,http://web.archive.org/web/20090410103328id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=25&blnm=PANDABESWAR,fa5513a622a7969730fdf9d6da2adc148175f69a5a69183f10c735f3d242a102,4004,election_results,tabled_no_reservation
raw/4377d11034e01404.html,http://web.archive.org/web/20090410102717id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=26&blnm=PURBASTHALI-I,7cd2e4e548ef79e8773c1543665e43ccc3e2e32193c2c845fb75259117a8c152,4312,election_results,tabled_no_reservation
raw/ca095f4e15d8d4ab.html,http://web.archive.org/web/20090410101427id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=27&blnm=PURBASTHALI-II,67bd118f24feecbe1a90b8e31c32b587d8ff67969360b57d018a8447984a3307,5210,election_results,tabled_no_reservation
raw/63235af47c6e9341.html,http://web.archive.org/web/20090410103415id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=28&blnm=RAINA-I,90b5144d74844b4709da0009703ac256aa9c5183f9d5183035d5e0261012b60f,4587,election_results,tabled_no_reservation
raw/b7160f4cd4eca672.html,http://web.archive.org/web/20090410102001id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=29&blnm=RAINA-II,d43b9801d459d550ea6621f7a7621dec4fff38864fc54f4d5c003772d0d4c848,4590,election_results,tabled_no_reservation
