file,url,landing_url,title,election_year,district,stage,tier,bytes,sha256,retrieved_at,status
alipurduar_i_form_a_banchukamari_pdf_734_30kb_2023030222.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030222.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Banchukamari (PDF 734.30KB )",2023,Alipurduar,final,gp_ward,751932,4785be07ec0033f88e2f9db08b4e3bcffdbe5de4355f8c5fabd58da4e86c1aa6,2026-09-06,downloaded
alipurduar_i_form_a_chakowakheti_pdf_682_62kb_2023030251.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030251.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Chakowakheti (PDF 682.62KB )",2023,Alipurduar,final,gp_ward,699004,40249c2301e00c3bd740b20951cff85e9a8b5850e67f7f33fc755cb121c3400d,2026-09-06,downloaded
alipurduar_i_form_a_mathura_pdf_622_29kb_2023030228-1.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030228-1.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Mathura (PDF 622.29KB )",2023,Alipurduar,final,gp_ward,637229,1bba7a82057a49804252e965a73859f243d47c6a2f2f5742a9e860c899e8b580,2026-09-06,downloaded
alipurduar_i_form_a_parorpar_pdf_700_38kb_2023030299.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030299.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Parorpar (PDF 700.38KB )",2023,Alipurduar,final,gp_ward,717194,49230c56833f18b9d70099b718abd70fe2f49a3bad67c7b9772bb20f4ad55eb7,2026-09-06,downloaded
alipurduar_i_form_a_patlakhawa_pdf_643_87kb_2023030246.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030246.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Patlakhawa (PDF 643.87KB )",2023,Alipurduar,final,gp_ward,659332,3d02f5e0466a842b67d0f9421c4f083451e51f3ee47cd5eb313d27d32636e680,2026-09-06,downloaded
alipurduar_i_form_a_purba_kathalbari_pdf_742_90kb_2023030222-1.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030222-1.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Purba Kathalbari (PDF 742.90KB )",2023,Alipurduar,final,gp_ward,760734,9de76dcdf0c21d5e2fdb9d845a0838af5cfdb247e50091c2a527e964f5dd1f4d,2026-09-06,downloaded
alipurduar_i_form_a_salkumar_i_pdf_700_98kb_2023030273-1.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030273-1.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Salkumar-I (PDF 700.98KB )",2023,Alipurduar,final,gp_ward,717810,b2582a5dcf1491d6b419acc2aeb4df8ad64c67335b7c3f22d0d8ee86346182a7,2026-09-06,downloaded
alipurduar_i_form_a_salkumar_ii_pdf_667_04kb_2023030244.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030244.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Salkumar-II (PDF 667.04KB )",2023,Alipurduar,final,gp_ward,683050,28c0cf29205dc1ac6e202ba866984f1959169136871e94427000a72781ef8144,2026-09-06,downloaded
alipurduar_i_form_a_tapshikhata_pdf_701_33kb_2023030225.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030225.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Tapshikhata (PDF 701.33KB )",2023,Alipurduar,final,gp_ward,718167,a5bdfae04ed429c37692d638ac22a6b15db3e8279e323dee0bcc7d1f35877177,2026-09-06,downloaded
alipurduar_i_form_a_vivekananda_i_pdf_694_70kb_2023030242.pdf,https://cdn.s3waas.gov.in/s33636638817772e42b59d74cff571fbb3/uploads/2023/03/2023030242.pdf,https://alipurduar.gov.in/information-window-pge-2023-form-a-form-b/,"Alipurduar- I, Form-A :- Vivekananda-I (PDF 694.70KB )",2023,Alipurduar,final,gp_ward,711378,bd320388cf435ef3768f806dcc60be3f5853f720cf29fd68188a5828c9862114,2026-09-06,downloaded
