wardnumber	party	validvotespolled	electionoutcome	totalvalidvotes	totalvoters	direction	reservationstatus	totalassets	totalliabilities	age	maritalstatus	dependents	otherdependents	pan	returnsfiled	spousepan	spousereturnsfiled	pendingcriminalcasesaffidavit	convictions	spouseassets	year	votespolled	totalvotespolled	v12	pendingcriminalcases	mynetacriminalcases	numberofvoters	percentagepolled	percentofvotespolled	percentoftotalvotes	potential_males	potential_females	actualmales	actualfemales	newcaste	poorgroup	nontwice	litcaste	landcaste	urbanelite	muslim	jat	obcc	gujjar	nocastereservation	sikh	edu_recoded	postgrad	lognetassets	logassets	netassets	sc	scw	woman	one	numcan	total_votes_cast	percent	winnerpercent	runnerup	winner	margin	voterank	bjp	congress	aap	bsp	ind	numind	other	vote_bjp	vote_aap	vote_congress	vote_bsp	vote_ind	num_ind	minorind	numind2	vote_ind2	num_ind2	vote_other	votessq	effective_parties	criminalcase	housewife	spousehousewife	malepercentage	femalepercentage	pancard	connamnum
	"IND"		"Lost"				"General"														2007.0	3499.0							22.520000457763672	9.15999984741211	21889.0	16299.0	9034.0	6507.0											1.0			0.0				0.0	0.0	0.0	1.0	16.0	15540.0	22.51608657836914	29.806949615478516	27.90862274169922	0.0	1.8983268737792969	3.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.27908623218536377	0.0	0.2980695068836212	0.04465894401073456	0.36241957545280457	12.0	1.0	14.0	0.6572715640068054	14.0	0.01576576568186283	0.05069741979241371	4.479717254638672				41.271873474121094	39.92269515991211		"221"
	"IND"		"Lost"				"General"														2007.0	75.0							0.5	0.20999999344348907	20628.0	14376.0	8895.0	6126.0	"Bania"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0				0.0	0.0	0.0	1.0	7.0	15021.0	0.4993009865283966	45.7958869934082	40.96931076049805	0.0	4.826576232910156	7.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.457958847284317	0.0	0.4096930921077728	0.06351108103990555	0.004993009846657515	1.0	1.0	5.0	0.5267958045005798	5.0	0.06384395062923431	2.493014653737191E-5	2.609941244125366				43.121002197265625	42.61268615722656		"158"
	"BJP"		"Winner"				"General"														2007.0	4458.0					35184.0	46.77000045776367	27.09000015258789	12.670000076293945	20188.0	14996.0	8966.0	6732.0	"Bania"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0				0.0	0.0	0.0	1.0	14.0	16454.0	27.09371566772461	27.09371566772461	20.918926239013672	1.0	6.1747894287109375	1.0	1.0	0.0	0.0	0.0	0.0	7.0	1.0	0.27093714475631714	0.0	0.12294882535934448	0.2091892510652542	0.30478909611701965	7.0	1.0	12.0	0.6678619384765625	12.0	0.09213565289974213	0.07340694218873978	5.995810031890869				44.41252136230469	44.891971588134766		"258"
	"IND"		"Lost"				"General"														2007.0	70.0							0.44999998807907104	0.20999999344348907	19778.0	14143.0	9210.0	6508.0											1.0			0.0				0.0	0.0	0.0	1.0	16.0	15715.0	0.4454343020915985	42.95259475708008	26.134265899658203	0.0	16.818328857421875	14.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	0.4295259416103363	0.0	0.2613426744937897	0.08221444487571716	0.17295578122138977	10.0	1.0	14.0	0.6564428806304932	14.0	0.05396118387579918	1.984117079700809E-5	3.7559759616851807				46.566890716552734	46.01569747924805		"270"
	"LJP"		"Winner"				"General"														2007.0	5841.0					34542.0	45.66999816894531	37.02000045776367	16.90999984741211	18427.0	16115.0	9617.0	6257.0	"Muslim"	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0		0.0				0.0	0.0	0.0	1.0	11.0	15777.0	37.022247314453125	37.022247314453125	22.47575569152832	1.0	14.546491622924805	1.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.1298092156648636	0.0	0.22475755214691162	0.0	0.1433732658624649	5.0	1.0	10.0	0.7752424478530884	10.0	0.5020599365234375	0.13706468045711517	4.40242862701416				52.189720153808594	38.827178955078125		"79"
	"BSP"		"Winner"				"General"														2007.0	6789.0					32810.0	48.459999084472656	42.70000076293945	20.690000534057617	18892.0	13918.0	9447.0	6552.0	"Gujjar"	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0		0.0				0.0	0.0	0.0	1.0	11.0	15899.0	42.70079803466797	42.70079803466797	28.769105911254883	1.0	13.931692123413086	1.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.28769105672836304	0.0	0.16422416269779205	0.4270079731941223	0.0366060771048069	4.0	0.0	9.0	0.40876784920692444	9.0	0.0844707190990448	0.18233582377433777	3.394902467727661				50.00529479980469	47.07572937011719		"255"
	"BJP"		"Lost"				"General"														2007.0	5711.0							34.20000076293945	14.5	24196.0	15187.0	10313.0	6403.0											1.0			0.0				0.0	0.0	0.0	1.0	9.0	16700.0	34.19760513305664	42.68263626098633	34.19760513305664	0.0	8.485031127929688	2.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.3419760465621948	0.0	0.4268263578414917	0.01592814363539219	0.08724550902843475	4.0	1.0	7.0	0.5572454929351807	7.0	0.12802395224571228	0.11694761365652084	3.1835250854492188				42.62274932861328	42.16106033325195		"62"
	"INC"		"Lost"				"General"														2007.0	1749.0							9.949999809265137	4.71999979019165	20950.0	16097.0	9535.0	7987.0											1.0			0.0				0.0	0.0	0.0	1.0	14.0	17578.0	9.94993782043457	34.5261116027832	13.46569538116455	0.0	21.06041717529297	5.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.13465695083141327	0.0	0.09949937462806702	0.11724883317947388	0.2913869619369507	9.0	0.0	12.0	0.7832517623901367	12.0	0.35720786452293396	0.009900125674903393	5.473378658294678				45.513126373291016	49.617942810058594		"139"
	"BJP"		"Lost"				"General"														2007.0	6558.0							42.310001373291016	16.3700008392334	20608.0	19457.0	8522.0	6977.0											1.0			0.0				0.0	0.0	0.0	1.0	7.0	15499.0	42.312408447265625	46.015872955322266	42.312408447265625	0.0	3.7034645080566406	2.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.4231240749359131	0.0	0.46015870571136475	0.0	0.049293503165245056	3.0	1.0	6.0	0.5398412942886353	6.0	0.06742370128631592	0.17903397977352142	2.529323101043701				41.35287094116211	35.858558654785156		"190"
	"INC"		"Lost"				"General"														2007.0	3173.0							24.239999771118164	11.6899995803833	15857.0	11283.0	7556.0	5534.0	"Bania"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0				0.0	0.0	0.0	1.0	12.0	13090.0	24.239877700805664	44.43850326538086	24.239877700805664	0.0	20.198625564575195	2.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.1469060331583023	0.0	0.24239878356456757	0.44438502192497253	0.06264323741197586	5.0	0.0	10.0	0.3132162094116211	10.0	0.10366692394018173	0.05875716730952263	3.5397164821624756				47.65087890625	49.047237396240234		"40"
