source_path,source_sha256,source_page,district,year,stage,ocr_cache,layout,structured_gp_candidates,structured_other_tier_candidates,coverage,reason,reason_evidence,gp_identifier_tokens,ps_identifier_tokens,bengali_letter_fraction,source_page_link,sample_image
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Nazirhat1_DIN2.pdf,686f6965dea53673284cdcd5257b1ac033a6066b889760cee30a96243c727002,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/686f6965dea53673284cdcd5257b1ac033a6066b889760cee30a96243c727002/0002.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,0,0,0.182,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Nazirhat1_DIN2.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sahebganj_DIN2.pdf,7b3f41c4349cb21f1adb0b120c110835b59b46b540f048cc6af1640ba87c344f,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/7b3f41c4349cb21f1adb0b120c110835b59b46b540f048cc6af1640ba87c344f/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.004,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sahebganj_DIN2.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sahebganj_DIN2.pdf,7b3f41c4349cb21f1adb0b120c110835b59b46b540f048cc6af1640ba87c344f,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/7b3f41c4349cb21f1adb0b120c110835b59b46b540f048cc6af1640ba87c344f/0002.json,gp_form_a,0,0,raw_only,suspected_ocr_orientation_or_recognition_failure,reader_diagnostic,0,0,0.222,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sahebganj_DIN2.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sukarukuti_DIN2.pdf,0671230fe42da17987f90e83ad570bc6c5813634891e65805976b2c24ac5a4e7,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/0671230fe42da17987f90e83ad570bc6c5813634891e65805976b2c24ac5a4e7/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.002,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sukarukuti_DIN2.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sukarukuti_DIN2.pdf,0671230fe42da17987f90e83ad570bc6c5813634891e65805976b2c24ac5a4e7,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/0671230fe42da17987f90e83ad570bc6c5813634891e65805976b2c24ac5a4e7/0002.json,gp_form_a,0,0,raw_only,suspected_ocr_orientation_or_recognition_failure,reader_diagnostic,0,0,0.276,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_Sukarukuti_DIN2.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_kismat Dasgram_DIN2.pdf,47a277707afbdb33e46909e617b85eba78aa31c59c27b97dc9d60869688cb23d,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/47a277707afbdb33e46909e617b85eba78aa31c59c27b97dc9d60869688cb23d/0001.json,gp_form_a,0,0,raw_only,suspected_ocr_orientation_or_recognition_failure,reader_diagnostic,0,0,0.305,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_kismat Dasgram_DIN2.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_kismat Dasgram_DIN2.pdf,47a277707afbdb33e46909e617b85eba78aa31c59c27b97dc9d60869688cb23d,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/47a277707afbdb33e46909e617b85eba78aa31c59c27b97dc9d60869688cb23d/0002.json,gp_form_a,0,0,raw_only,suspected_ocr_orientation_or_recognition_failure,reader_diagnostic,0,0,0.262,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_A_kismat Dasgram_DIN2.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf,4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f/0001.json,ps_form_b,0,0,raw_only,ps_form_b_reader_not_implemented,reader_diagnostic,0,0,0.111,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf,4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f/0002.json,ps_form_b,0,0,raw_only,ps_form_b_reader_not_implemented,reader_diagnostic,0,0,0.192,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf,4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/4bbe415a56a8d32bfa003cb9989d121f05b93d8736c23fdf593becc248e6eb7f/0003.json,ps_form_b,0,0,raw_only,ps_form_b_reader_not_implemented,reader_diagnostic,0,0,0.288,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Dinhata 2 from A&B/from_B_Dinhat 2_block.pdf#page=3,
